epoch_label,auc,auc_ci_low,auc_ci_high
D20170630,,,
D20170712,,,
D20170724,,,
D20170805,,,
D20170817,,,
D20170829,,,
D20170910,,,
D20170922,,,
D20171004,,,
D20171016,,,
D20171028,,,
D20171109,,,
D20171121,,,
D20171203,,,
D20171215,,,
D20171227,0.3983603258349301,0.38081593804411545,0.4208335466047195
D20180108,0.30606062594605,0.2885233854809215,0.32456227415107053
D20180120,0.28915006430952567,0.26901450573535973,0.3098503491088537
D20180201,0.18623338670586487,0.16950246519848455,0.20148697185255185
D20180213,0.18245946749962816,0.16372234581025627,0.20401606425702812
D20180225,,,
