epoch_label,auc,auc_ci_low,auc_ci_high,p_value
D20170630,0.8036665090803164,0.773439298215454,0.8358218844462273,0.004975124378109453
D20170712,0.8090960751448123,0.7768910362018824,0.8412540769498923,0.004975124378109453
D20170724,0.8144301343304251,0.7822712968401548,0.8451113610207776,0.004975124378109453
D20170805,0.8221781298798045,0.7906373412795056,0.8511958655072132,0.004975124378109453
D20170817,0.8211060651643435,0.7911707471980669,0.8576349392815018,0.004975124378109453
D20170829,0.7255562081858946,0.6825741730298125,0.7589418315354164,0.004975124378109453
D20170910,0.6567530526386163,0.6173442879723412,0.6988142820986681,0.004975124378109453
D20170922,0.6600289385843015,0.6200319709277061,0.6964164625207131,0.004975124378109453
D20171004,0.6077341470519414,0.5712853793294462,0.6472347177055428,0.004975124378109453
D20171016,0.5279429250891796,0.4954665272266235,0.5708592992660296,0.07960199004975124
D20171028,0.4874002550033666,0.44944140414213335,0.5204277275570772,0.6766169154228856
D20171109,0.45245428802009463,0.4139721788461814,0.4936926063349712,0.9850746268656716
D20171121,0.4657870483121547,0.4302571761481121,0.4976214011814201,0.9353233830845771
D20171203,0.4825079151325874,0.4448066940771409,0.5192077465629462,0.7860696517412935
D20171215,0.45907769007062726,0.4234210325248676,0.49297272323539104,0.9601990049751243
D20171227,0.490260686025911,0.4534902988887774,0.5249744519098988,0.7114427860696517
D20180108,0.48279204809726417,0.44721800400173817,0.517007864991476,0.8208955223880597
D20180120,0.47042390728192196,0.4358861128222761,0.5070468556747799,0.9203980099502488
D20180201,0.4709062170202809,0.4389472276740732,0.5078937629232745,0.9203980099502488
D20180213,0.5250586173469144,0.4895052266139469,0.5592078181931054,0.09950248756218906
D20180225,0.5142472386573642,0.47097880224823196,0.5573916355075474,0.26865671641791045
