epoch_label,early_warning_score,core_pre_event_mean_risk
D20170630,3.245214427044507e-13,
D20170712,5.2729465238599005e-09,
D20170724,7.118824418839154e-10,
D20170805,1.5250159468571667e-10,
D20170817,2.832604428792962e-10,
D20170829,3.517055258139834e-10,
D20170910,7.371179777670989e-10,
D20170922,1.3680026000884027e-09,
D20171004,1.695249829403167e-09,
D20171016,1.7452186917843449e-10,
D20171028,1.1013358280909102e-10,
D20171109,3.5630203648606695e-11,
D20171121,9.4290630858751e-11,
D20171203,6.204641661566868e-11,
D20171215,4.250748624617939e-12,
D20171227,1.2235354873366133e-12,1.2235354873366133e-12
D20180108,1.8397903914311314e-13,1.8397903914311314e-13
D20180120,2.8102205214567896e-14,2.8102205214567896e-14
D20180201,1.720123076420756e-17,1.720123076420756e-17
D20180213,9.435601442970426e-15,9.435601442970426e-15
D20180225,3.152531890844133e-17,
