k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4350218949519839,0.39769237473078994,0.4781610986156277,,0
12,D20170712,2017-07-12,0.48115649279639366,0.43831019679192396,0.5214691106876973,,0
13,D20170724,2017-07-24,0.4493694158321753,0.4132113471722801,0.49545232057838967,,0
14,D20170805,2017-08-05,0.40066807061778625,0.3626717333065914,0.43738557082073837,,0
15,D20170817,2017-08-17,0.4225272075221218,0.3848286129058446,0.4612621114660784,,0
16,D20170829,2017-08-29,0.41696631949916196,0.3795563944243084,0.4608098267027683,,0
17,D20170910,2017-09-10,0.47273278607891733,0.4351542913628354,0.5089723340448595,,0
18,D20170922,2017-09-22,0.4673700748296396,0.4255660573327794,0.504200750684068,,0
19,D20171004,2017-10-04,0.4289834725346093,0.3901741329169234,0.4667119727423367,,0
20,D20171016,2017-10-16,0.3408855397810027,0.3021355935036221,0.3770518459092016,,0
21,D20171028,2017-10-28,0.3721234521916441,0.33612010467553927,0.4072558366641357,,0
22,D20171109,2017-11-09,0.4291911999961797,0.3922759408621406,0.46663849213739617,,0
23,D20171121,2017-11-21,0.5015663128136805,0.45924697601344733,0.5380748917190761,,0
24,D20171203,2017-12-03,0.6321958464058374,0.5932963124794063,0.6700057662278126,,0
25,D20171215,2017-12-15,0.6713178516682664,0.6346670272051345,0.7021229985339694,,0
26,D20171227,2017-12-27,0.751875516334064,0.7161118910839553,0.783613705714654,0.004975124378109453,1
27,D20180108,2018-01-08,0.7132334331380218,0.6810823555816609,0.7497130615207559,0.004975124378109453,1
28,D20180120,2018-01-20,0.6853310984723675,0.6516944114149822,0.719331308587501,0.004975124378109453,1
29,D20180201,2018-02-01,0.6235739629146789,0.582510601263556,0.6588619042161512,0.004975124378109453,1
30,D20180213,2018-02-13,0.5643023938799192,0.5249440687840542,0.6091703317431437,0.004975124378109453,1
