k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4359172719415116,0.39878676417919,0.4849041230319614,,0
12,D20170712,2017-07-12,0.4950049902344216,0.4534202207163971,0.5350846310330502,,0
13,D20170724,2017-07-24,0.4668567253556437,0.4273573485380285,0.5066667382968258,,0
14,D20170805,2017-08-05,0.4126494085736525,0.3677926927686967,0.44860619648630184,,0
15,D20170817,2017-08-17,0.429814382380891,0.3873590079700491,0.46659646911068764,,0
16,D20170829,2017-08-29,0.4214718565104652,0.38180146268785015,0.46277667148976404,,0
17,D20170910,2017-09-10,0.4581082952499653,0.41886242950398495,0.4955148178922587,,0
18,D20170922,2017-09-22,0.46182828818245636,0.41863082532269386,0.5029629815337449,,0
19,D20171004,2017-10-04,0.44691488904488347,0.40996918709320046,0.48374144616516,,0
20,D20171016,2017-10-16,0.3567420693475447,0.32175551194074753,0.393097717863129,,0
21,D20171028,2017-10-28,0.40610479969819824,0.37113579168039584,0.4402982918594711,,0
22,D20171109,2017-11-09,0.44494744733989466,0.407089177160485,0.4798103830303378,,0
23,D20171121,2017-11-21,0.5303353724051975,0.4839720355858631,0.5661900276492414,,0
24,D20171203,2017-12-03,0.6398626611081664,0.6054308195922812,0.6774199652354961,,0
25,D20171215,2017-12-15,0.6605112483226605,0.6236770506520732,0.6923403483135874,,0
26,D20171227,2017-12-27,0.7477758835580132,0.7152736988381588,0.7770741109503413,0.004975124378109453,1
27,D20180108,2018-01-08,0.7048312154682941,0.6713360576670534,0.7445359917673069,0.004975124378109453,1
28,D20180120,2018-01-20,0.6854003409595576,0.653519667254034,0.7208415708016369,0.004975124378109453,1
29,D20180201,2018-02-01,0.6483579979848049,0.612833020548305,0.6815046750617214,0.004975124378109453,1
30,D20180213,2018-02-13,0.6257897225047634,0.587077799903538,0.6672044300865769,0.004975124378109453,1
