k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5554308352591615,0.5076779465170024,0.6044486629250578,,0
12,D20240530,2024-05-30,0.5153978210630571,0.47110713106635854,0.5611754704522944,,0
13,D20240611,2024-06-11,0.5584945526576427,0.5106076262793002,0.6096033344338065,,0
14,D20240623,2024-06-23,0.504549356223176,0.4559494882799604,0.5517707164080554,,0
15,D20240705,2024-07-05,0.4631495543083526,0.42034714427203695,0.5101274347969627,,0
16,D20240717,2024-07-17,0.4589963684384285,0.41368818091779463,0.4962421591284251,,0
17,D20240729,2024-07-29,0.4972928359194454,0.4507852426543414,0.5477240013205679,,0
18,D20240822,2024-08-22,0.5037306041597887,0.4571264443710796,0.5494443710795641,,0
19,D20240903,2024-09-03,0.5625024760647078,0.5120183228788379,0.6057383624958732,,0
20,D20240915,2024-09-15,0.5829514691317267,0.537603499504787,0.6294716077913503,,0
21,D20240927,2024-09-27,0.5956817431495544,0.5487583360845164,0.6435577748431826,,0
22,D20241009,2024-10-09,0.6182898646417959,0.5735785737867284,0.6668345988775173,,0
23,D20241021,2024-10-21,0.6184615384615384,0.5691520303730604,0.6654664905909541,,0
24,D20241102,2024-11-02,0.658045559590624,0.6116474083856057,0.7000612413337736,,0
25,D20241114,2024-11-14,0.6508814790359854,0.601507923407065,0.6991708484648398,,0
26,D20241126,2024-11-26,0.6552393529217562,0.6081982502476064,0.6969451964344668,,0
27,D20241208,2024-12-08,0.5975701551667216,0.5463827996038297,0.6438991416309012,,0
28,D20241220,2024-12-20,0.6355166721690326,0.596411687025421,0.6756592934962034,0.004975124378109453,1
29,D20250101,2025-01-01,0.6254143281611091,0.5822279630241003,0.6719877847474415,0.004975124378109453,1
30,D20250113,2025-01-13,0.6059821723341037,0.5570673489600528,0.6470830307032024,0.004975124378109453,1
31,D20250125,2025-01-25,0.6505711455926049,0.6045378012545394,0.6937527236711785,0.004975124378109453,1
32,D20250206,2025-02-06,0.6334896005282271,0.5828624958732255,0.6766729943875867,0.004975124378109453,1
