k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.1680109202861786,0.20089857280254364,0.23130442202091217,-0.03288765251636505,-0.05856342539191246,-0.004074105620384232,0
12,D20170712,2017-07-12,0.37889575958251953,0.38094544410705566,0.3365307152271271,-0.002049684524536133,-0.03700327649712563,0.02984363362193107,0
13,D20170724,2017-07-24,0.37192946672439575,0.39954566955566406,0.38579297065734863,-0.02761620283126831,-0.06651867479085923,0.009717769920825878,0
14,D20170805,2017-08-05,0.35868385434150696,0.4393586218357086,0.3897489011287689,-0.08067476749420166,-0.11444386467337608,-0.04880512580275539,0
15,D20170817,2017-08-17,0.42374011874198914,0.49112167954444885,0.3922906219959259,-0.06738156080245972,-0.11192394196987152,-0.030242676287889507,0
16,D20170829,2017-08-29,0.431323379278183,0.5090641379356384,0.41611382365226746,-0.07774075865745544,-0.11405346393585206,-0.03505364656448365,0
17,D20170910,2017-09-10,0.47443312406539917,0.5131112337112427,0.44106993079185486,-0.038678109645843506,-0.07456787452101707,0.0010633111000061019,0
18,D20170922,2017-09-22,0.5275394320487976,0.5595617294311523,0.4412054419517517,-0.032022297382354736,-0.07343041971325874,0.0036390960216521988,0
19,D20171004,2017-10-04,0.5164573192596436,0.5623694062232971,0.45969393849372864,-0.045912086963653564,-0.08670718520879746,-9.634941816338534e-05,0
20,D20171016,2017-10-16,0.39111828804016113,0.5390024185180664,0.43258294463157654,-0.14788413047790527,-0.18186239376664162,-0.10745185911655428,0
21,D20171028,2017-10-28,0.43009698390960693,0.5309223532676697,0.4327947199344635,-0.10082536935806274,-0.1337581254541874,-0.0657038487493992,0
22,D20171109,2017-11-09,0.4930061995983124,0.546748161315918,0.4642298221588135,-0.05374196171760559,-0.08513899818062783,-0.01804395914077762,0
23,D20171121,2017-11-21,0.6122548580169678,0.5797141194343567,0.4677063822746277,0.032540738582611084,-0.00732240229845047,0.06394968479871749,0
24,D20171203,2017-12-03,0.7061208486557007,0.5854779481887817,0.47588592767715454,0.12064290046691895,0.09088420271873474,0.1514875739812851,0
25,D20171215,2017-12-15,0.7226319313049316,0.5813167691230774,0.4882287383079529,0.14131516218185425,0.10771090388298035,0.17270472943782805,0
26,D20171227,2017-12-27,0.7993830442428589,0.5814363956451416,0.5210675597190857,0.21794664859771729,0.1875947058200836,0.2466654449701309,1
27,D20180108,2018-01-08,0.7935147285461426,0.6092638373374939,0.5141614675521851,0.18425089120864868,0.16000580340623854,0.2149103507399559,1
28,D20180120,2018-01-20,0.7734084725379944,0.6056018471717834,0.5188130140304565,0.16780662536621094,0.13779567182064056,0.1996509075164795,1
29,D20180201,2018-02-01,0.7505554556846619,0.5997443199157715,0.5374553799629211,0.15081113576889038,0.12103674709796905,0.1830108761787414,1
30,D20180213,2018-02-13,0.7844864130020142,0.6669753789901733,0.538774847984314,0.11751103401184082,0.07829246670007706,0.15180851221084593,1
