ID,Fi,Lambda,E_utm,N_utm,distance_m,label_text,epoch_col,epoch_date,risk_pk,top20
D30000400400,-12.64258692,28.02794435,611634.4957314824,8602169.5098423,307.35764278732233,near-field,D20250206,2025-02-06,0.9162393,1
D30000400403,-12.64256612,28.02785502,611624.8026021656,8602171.84841077,309.23529700959375,near-field,D20250206,2025-02-06,0.93948716,1
D30000500290,-12.64351303,28.03136101,612005.1769654104,8602065.622764163,151.94138539763827,near-field,D20250206,2025-02-06,0.92358977,1
D30000500354,-12.64304096,28.02933403,611785.231920003,8602118.700112425,263.7316637410878,near-field,D20250206,2025-02-06,0.85555553,0
D30000500395,-12.64274626,28.0280684,611647.8996294902,8602151.83401296,290.3353284081532,near-field,D20250206,2025-02-06,0.4417094,0
D30000500405,-12.64267599,28.02776656,611615.1472169189,8602159.734576944,296.6784965272523,near-field,D20250206,2025-02-06,0.7726496,0
D30000500415,-12.64260867,28.02747724,611583.7533096933,8602167.303495735,302.75462156699587,near-field,D20250206,2025-02-06,0.7545299,0
D30000500429,-12.64251517,28.02707539,611540.14882732,8602177.8158303,311.19354484958325,near-field,D20250206,2025-02-06,0.5555556,0
D30000500445,-12.64239929,28.02657777,611486.1524089633,8602190.844105614,321.6542561322712,near-field,D20250206,2025-02-06,0.7502564,0
D30000500451,-12.64235534,28.02638907,611465.6766887668,8602195.785319233,325.62183531225844,near-field,D20250206,2025-02-06,0.8875214,0
D30000500480,-12.64214862,28.02550126,611369.340869321,8602219.026352406,344.2820422571507,near-field,D20250206,2025-02-06,0.9153846,1
D30000600345,-12.64323049,28.02958768,611812.6984437433,8602097.629837763,243.98359241486034,near-field,D20250206,2025-02-06,0.75333333,0
D30000600352,-12.64317909,28.02936698,611788.7505452526,8602103.40893143,248.62394723288972,near-field,D20250206,2025-02-06,0.61538464,0
D30000600372,-12.64303083,28.02873046,611719.6824674405,8602120.078206655,262.00898639546443,near-field,D20250206,2025-02-06,0.73538464,0
D30000600385,-12.64293922,28.02833695,611676.9830800445,8602130.378167992,270.2785675733559,near-field,D20250206,2025-02-06,0.061880343,0
D30000600386,-12.6429322,28.02830678,611673.7093600318,8602131.167449605,270.91218239115597,near-field,D20250206,2025-02-06,0.0,0
D30000600390,-12.64290427,28.0281868,611660.6904404447,8602134.30768357,273.4333595420988,near-field,D20250206,2025-02-06,0.044273503,0
D30000600396,-12.64286298,28.02800937,611641.4376637483,8602138.95002677,277.16022429089446,near-field,D20250206,2025-02-06,0.79435897,0
D30000600406,-12.6427939,28.02771259,611609.234316304,8602146.716813298,283.39572480216174,near-field,D20250206,2025-02-06,0.59726495,0
D30000600409,-12.64277343,28.02762462,611599.6887602236,8602149.01829592,285.24331203216366,near-field,D20250206,2025-02-06,0.50700855,0
D30000600451,-12.64247917,28.0263606,611462.5308497617,8602182.101921719,311.80500301708224,near-field,D20250206,2025-02-06,0.908547,1
D30000600452,-12.64247175,28.02632875,611459.0748278203,8602182.936132867,312.474877742945,near-field,D20250206,2025-02-06,0.91726494,1
D30000700264,-12.64395037,28.03211857,612087.2648744874,8602016.92880676,57.2816667488519,buffer,D20250206,2025-02-06,0.61059827,0
D30000700265,-12.64394334,28.03208837,612083.9879213595,8602017.719256444,60.349968832909695,buffer,D20250206,2025-02-06,0.93264955,1
D30000700266,-12.64393612,28.03205735,612080.6219908157,8602018.531070845,63.5015225971097,buffer,D20250206,2025-02-06,0.9211966,1
D30000700293,-12.64373752,28.03120458,611988.0892702512,8602040.861214751,150.14856079411294,near-field,D20250206,2025-02-06,0.8535043,0
D30000700345,-12.64335489,28.02956164,611809.816115853,8602083.882385613,230.1152361371043,near-field,D20250206,2025-02-06,0.61982906,0
D30000700349,-12.64332544,28.02943521,611796.0973543868,8602087.19355138,232.77406484367745,near-field,D20250206,2025-02-06,0.8446154,0
D30000700352,-12.64330324,28.02933988,611785.7532108368,8602089.689580401,234.7782230478463,near-field,D20250206,2025-02-06,0.29675213,0
D30000700353,-12.64329587,28.02930821,611782.3167346772,8602090.518225662,235.44346225121257,near-field,D20250206,2025-02-06,0.68786323,0
D30000700359,-12.64325142,28.02911739,611761.6110861166,8602095.515867677,239.45653552269525,near-field,D20250206,2025-02-06,0.42307693,0
D30000700372,-12.64315414,28.02869976,611716.2945345292,8602106.453291234,248.23912439700146,near-field,D20250206,2025-02-06,0.23675214,0
D30000700427,-12.64277857,28.02708597,611541.1836145588,8602148.679436482,282.1386616410023,near-field,D20250206,2025-02-06,0.4005128,0
D30000700428,-12.64277128,28.02705467,611537.7872775052,8602149.499045396,282.79677241193434,near-field,D20250206,2025-02-06,0.0,0
D30000700429,-12.64276399,28.02702337,611534.3909402872,8602150.318653887,283.45488275274687,near-field,D20250206,2025-02-06,0.51760685,0
D30000700454,-12.64258056,28.02623577,611448.9290555253,8602170.94140815,300.0138672719863,near-field,D20250206,2025-02-06,0.98615384,1
D30000700476,-12.64242418,28.02556415,611376.0519745479,8602188.522831999,314.12994224079733,near-field,D20250206,2025-02-06,0.9135043,1
D30000700482,-12.64238124,28.02537974,611356.0417443236,8602193.35043441,318.00604600792394,near-field,D20250206,2025-02-06,0.70905983,0
D30000800188,-12.64463801,28.03451094,612346.7994282446,8601939.850203522,28.407610436167133,buffer,D20250206,2025-02-06,0.6888889,0
D30000800264,-12.64407313,28.03208554,612083.6239487226,8602003.365749003,51.794743422694715,buffer,D20250206,2025-02-06,0.6923077,0
D30000800265,-12.64406584,28.03205424,612080.227639676,8602004.185425391,54.975070520950965,buffer,D20250206,2025-02-06,0.9482051,1
D30000800276,-12.64398624,28.0317124,612043.1351523963,8602013.135530874,89.70754906757989,buffer,D20250206,2025-02-06,0.93948716,1
D30000800314,-12.64370652,28.03051129,611912.8045718215,8602044.586372541,195.7325465334665,near-field,D20250206,2025-02-06,0.70324785,0
D30000800315,-12.64369895,28.03047879,611909.2780444823,8602045.437508732,196.41599382209017,near-field,D20250206,2025-02-06,0.73435897,0
D30000800335,-12.64355029,28.02984053,611840.0213495833,8602062.152077429,209.8373578366425,near-field,D20250206,2025-02-06,0.7960684,0
D30000800337,-12.64353617,28.02977989,611833.4413832052,8602063.739655983,211.11205484714506,near-field,D20250206,2025-02-06,0.5774359,0
D30000800344,-12.64348662,28.02956704,611810.3453004682,8602069.310807008,215.58497410592216,near-field,D20250206,2025-02-06,0.6547009,0
D30000800350,-12.64344235,28.02937699,611789.7232223494,8602074.288234293,219.58180653288696,near-field,D20250206,2025-02-06,0.7437607,0
D30000800429,-12.64288762,28.02699404,611531.1517527476,8602136.657747721,269.65610305988605,near-field,D20250206,2025-02-06,0.8659829,0
D30000800481,-12.64251289,28.02538481,611356.5353609496,8602178.787872083,303.4831084895303,near-field,D20250206,2025-02-06,0.0,0
D30000800482,-12.64250601,28.02535527,611353.3299932312,8602179.561363693,304.10418271481507,near-field,D20250206,2025-02-06,0.671453,0
D30000800483,-12.64249914,28.02532573,611350.1246210346,8602180.333748935,304.72415159730684,near-field,D20250206,2025-02-06,0.036239315,0
D30000800486,-12.64247852,28.02523714,611340.5117662075,8602182.651995637,306.58530222075956,near-field,D20250206,2025-02-06,0.5353846,0
D30000900144,-12.64508561,28.03587281,612494.5157910212,8601889.760710651,61.28806759792095,buffer,D20250206,2025-02-06,0.013333334,0
D30000900148,-12.64506042,28.03576444,612482.7568013627,8601892.593303092,52.34747706469805,buffer,D20250206,2025-02-06,0.6740171,0
D30000900185,-12.6447833,28.03457463,612353.6532563871,8601923.753833968,16.87379487835252,buffer,D20250206,2025-02-06,0.93948716,1
D30000900240,-12.64436921,28.03279687,612160.7521807752,8601970.314653499,0.0,core,D20250206,2025-02-06,0.6950427,0
D30000900241,-12.64436157,28.03276409,612157.1952875393,8601971.173683777,0.0,core,D20250206,2025-02-06,0.50529915,0
D30000900260,-12.64422509,28.03217789,612093.5877864251,8601986.519481307,33.56835459464367,buffer,D20250206,2025-02-06,0.3582906,0
D30000900277,-12.64410132,28.03164638,612035.9145584747,8602000.435997525,87.572402409398,buffer,D20250206,2025-02-06,0.91846156,1
D30000900312,-12.64384475,28.03054467,611916.3697758472,8602029.283925034,180.61577839417657,near-field,D20250206,2025-02-06,0.32393163,0
D30000900337,-12.64365976,28.02975041,611830.1857813415,8602050.083260661,197.31700487132207,near-field,D20250206,2025-02-06,0.6923077,0
D30000900338,-12.64365271,28.0297201,611826.8968812232,8602050.875938823,197.95329471325036,near-field,D20250206,2025-02-06,0.73128206,0
D30000900428,-12.64301751,28.02699162,611530.8325502388,8602122.293021515,255.29234967213063,near-field,D20250206,2025-02-06,0.002051282,0
D30000900429,-12.64301018,28.02696016,611527.4188559412,8602123.117121588,255.95412591567785,near-field,D20250206,2025-02-06,0.557265,0
D30000900483,-12.64262392,28.02530132,611347.419385839,8602166.543546336,290.82146576395485,near-field,D20250206,2025-02-06,0.22102565,0
D30000900485,-12.64261018,28.02524226,611341.0108162881,8602168.08830682,292.0614963697182,near-field,D20250206,2025-02-06,0.047008548,0
D30000900486,-12.64260331,28.02521273,611337.8065312937,8602168.8606865,292.6815111003595,near-field,D20250206,2025-02-06,0.8452991,0
D30001000149,-12.64518221,28.035727,612478.6371501746,8601879.139458539,42.52081162066141,buffer,D20250206,2025-02-06,0.2694017,0
D30001000150,-12.64517617,28.03570097,612475.8126886908,8601879.818669422,40.15589287785999,buffer,D20250206,2025-02-06,0.8066667,0
D30001000185,-12.64490719,28.03454643,612350.536298988,8601910.063749043,3.1858083499043293,buffer,D20250206,2025-02-06,0.90205127,0
D30001000254,-12.64439143,28.03233205,612110.2585059352,8601968.056307793,9.06267676847884,buffer,D20250206,2025-02-06,0.9601709,1
D30001000255,-12.64438422,28.03230108,612106.8980080108,8601968.866998438,12.209258812912365,buffer,D20250206,2025-02-06,0.003076923,0
D30001000278,-12.64421646,28.03158063,612028.7232691472,8601987.729711184,85.41001152875556,buffer,D20250206,2025-02-06,0.8135043,0
D30001000313,-12.64396027,28.03048052,611909.3521465609,8602016.534900311,167.54921259304547,near-field,D20250206,2025-02-06,0.33247864,0
D30001000340,-12.64376219,28.02962999,611817.062404163,8602038.8060079,185.43188042979554,near-field,D20250206,2025-02-06,0.1391453,0
D30001000341,-12.64375513,28.02959969,611813.7745955857,8602039.599786347,186.06932093511506,near-field,D20250206,2025-02-06,0.3123077,0
D30001000428,-12.64313969,28.02695615,611526.9271297379,8602108.795100704,241.6248730317935,near-field,D20250206,2025-02-06,0.006837607,0
D30001000429,-12.64313257,28.02692555,611523.6067505741,8602109.595608091,242.2674949881391,near-field,D20250206,2025-02-06,0.0,0
D30001000488,-12.64271412,28.0251283,611328.5885692497,8602156.641087245,280.03974519138677,near-field,D20250206,2025-02-06,0.98376065,1
D30001100144,-12.64534,28.03584446,612491.325346094,8601861.637438186,52.48448902021201,buffer,D20250206,2025-02-06,0.9111111,1
D30001100145,-12.64533326,28.0358155,612488.1829673657,8601862.39532986,49.31476575857141,buffer,D20250206,2025-02-06,0.87641025,0
D30001100149,-12.64530683,28.03570185,612475.851073747,8601865.367333753,36.98061379771128,buffer,D20250206,2025-02-06,0.10512821,0
D30001100177,-12.64508871,28.03476569,612374.2706559441,8601889.893548463,0.0,core,D20250206,2025-02-06,0.8487179,0
D30001100259,-12.6444785,28.03214571,612089.982191696,8601958.506224252,19.152096435188692,buffer,D20250206,2025-02-06,0.99470085,1
D30001100292,-12.6442373,28.03110993,611977.5915693601,8601985.626272801,124.39256744212523,near-field,D20250206,2025-02-06,0.7805128,0
D30001100341,-12.64387771,28.02956586,611810.0469916521,8602026.056953516,172.3653898119842,near-field,D20250206,2025-02-06,0.46034187,0
D30001100342,-12.64387055,28.02953515,611806.7146979142,8602026.861966375,173.01194887127795,near-field,D20250206,2025-02-06,0.2442735,0
D30001100347,-12.64383461,28.02938079,611789.9653137508,8602030.902854508,176.25639359279194,near-field,D20250206,2025-02-06,0.7904273,0
D30001100428,-12.64326273,28.0269243,611523.4145075886,8602095.20052145,227.8794178676046,near-field,D20250206,2025-02-06,0.47897437,0
D30001100429,-12.64325567,28.026894,611520.1266869565,8602095.994264754,228.51682269787872,near-field,D20250206,2025-02-06,0.36905983,0
D30001100487,-12.64284581,28.02513357,611329.1039023439,8602142.074017037,265.51333160384274,near-field,D20250206,2025-02-06,0.9254701,1
D30001100488,-12.64283871,28.02510306,611325.7932817964,8602142.872250294,266.15414336910806,near-field,D20250206,2025-02-06,0.6666667,0
D30001100489,-12.6428316,28.02507253,611322.480493221,8602143.67159765,266.7959654806749,near-field,D20250206,2025-02-06,0.871453,0
D30001200134,-12.64553086,28.0361041,612519.4411258085,8601840.416743446,82.94598612353184,buffer,D20250206,2025-02-06,0.93333334,1
D30001200141,-12.64548691,28.03591505,612498.9277680273,8601845.358886931,61.96166324942537,buffer,D20250206,2025-02-06,0.9471795,1
D30001200144,-12.64546573,28.03582404,612489.0525008464,8601847.740515066,51.859349382752626,buffer,D20250206,2025-02-06,0.94393164,1
D30001200145,-12.64545867,28.0357937,612485.7603827796,8601848.534391753,48.49155213254964,buffer,D20250206,2025-02-06,0.37846154,0
