k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.1654946208000183,0.2018706202507019,0.23408137261867523,-0.036375999450683594,-0.05763438157737255,-0.01358548700809479,0
12,D20170712,2017-07-12,0.4010528028011322,0.3959123194217682,0.33218103647232056,0.005140483379364014,-0.028454038500785827,0.03585626408457755,0
13,D20170724,2017-07-24,0.3885601758956909,0.40789923071861267,0.37709638476371765,-0.019339054822921753,-0.05914478749036789,0.01673900485038757,0
14,D20170805,2017-08-05,0.34577757120132446,0.43080469965934753,0.3819255232810974,-0.08502712845802307,-0.11774932518601418,-0.050945087522268326,0
15,D20170817,2017-08-17,0.39343342185020447,0.47264745831489563,0.39632493257522583,-0.07921403646469116,-0.12022830843925476,-0.0429437473416329,0
16,D20170829,2017-08-29,0.4507614076137543,0.49670010805130005,0.4132916331291199,-0.045938700437545776,-0.08577457964420318,-0.008170681446790744,0
17,D20170910,2017-09-10,0.4773905575275421,0.5105450749397278,0.43256932497024536,-0.03315451741218567,-0.06924060359597206,0.004483641684055271,0
18,D20170922,2017-09-22,0.537410318851471,0.5603423714637756,0.43886321783065796,-0.022932052612304688,-0.061180920153856275,0.014815989136695783,0
19,D20171004,2017-10-04,0.4773782789707184,0.5489338040351868,0.4538659453392029,-0.07155552506446838,-0.10894897803664208,-0.028149383515119582,0
20,D20171016,2017-10-16,0.38102200627326965,0.5272257924079895,0.42962750792503357,-0.14620378613471985,-0.1809061013162136,-0.09979776963591576,0
21,D20171028,2017-10-28,0.3930009603500366,0.5521634817123413,0.43219825625419617,-0.1591625213623047,-0.1919109746813774,-0.12479285597801212,0
22,D20171109,2017-11-09,0.49295222759246826,0.5607488751411438,0.4644343852996826,-0.06779664754867554,-0.10123802646994591,-0.02969277799129487,0
23,D20171121,2017-11-21,0.6144835948944092,0.5889785289764404,0.4738438129425049,0.02550506591796875,-0.013919636607170105,0.05766658782958983,0
24,D20171203,2017-12-03,0.6998959183692932,0.5871380567550659,0.47652196884155273,0.1127578616142273,0.0803297221660614,0.14317681044340133,0
25,D20171215,2017-12-15,0.7235060930252075,0.576156735420227,0.4860868752002716,0.14734935760498047,0.11511069089174271,0.17653026878833766,0
26,D20171227,2017-12-27,0.7961360812187195,0.5825275778770447,0.5226920247077942,0.2136085033416748,0.18084834516048431,0.24312789291143413,1
27,D20180108,2018-01-08,0.7911664247512817,0.5948812961578369,0.5139914155006409,0.19628512859344482,0.16963664591312408,0.22417247146368022,1
28,D20180120,2018-01-20,0.7875965237617493,0.5998747944831848,0.5164154767990112,0.18772172927856445,0.15958927273750306,0.21800269484519957,1
29,D20180201,2018-02-01,0.7564741373062134,0.6005291938781738,0.5318395495414734,0.15594494342803955,0.12286335825920106,0.18586785495281216,1
30,D20180213,2018-02-13,0.7893891334533691,0.6692980527877808,0.5391045808792114,0.12009108066558838,0.07733833342790604,0.15963984429836273,1
