k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.38469623788354035,0.3524345613657412,0.41605716546483335,0
12,D20170712,2017-07-12,0.5843260317923571,0.5479869351491587,0.6160256086102415,0
13,D20170724,2017-07-24,0.5163385283549355,0.4753443802792414,0.5499682143853023,0
14,D20170805,2017-08-05,0.4600657095343841,0.42802900052060977,0.49676506722416713,0
15,D20170817,2017-08-17,0.49862671696499394,0.46002409325514076,0.5366135184700909,0
16,D20170829,2017-08-29,0.5378386070965719,0.4998750909622421,0.5755728634648921,0
17,D20170910,2017-09-10,0.5515184614221366,0.5176216136882341,0.5813951874171347,0
18,D20170922,2017-09-22,0.6046770124026505,0.5750710179728387,0.6377862330723542,0
19,D20171004,2017-10-04,0.5246911618171932,0.4839128188012874,0.5587631675520887,0
20,D20171016,2017-10-16,0.44771170062189036,0.41061639530902116,0.48277848171676996,0
21,D20171028,2017-10-28,0.4584716127972738,0.4233906846958526,0.49765797209704626,0
22,D20171109,2017-11-09,0.5357561677336519,0.5031545597186684,0.5709945971679017,0
23,D20171121,2017-11-21,0.6550902013137091,0.6244750256572519,0.6854415021881506,0
24,D20171203,2017-12-03,0.74836749564513,0.7242389933881105,0.7748826099457188,0
25,D20171215,2017-12-15,0.759173159841669,0.7333495211208186,0.785831297368392,0
26,D20171227,2017-12-27,0.8052550771499476,0.7814399100178144,0.8297777932692516,1
27,D20180108,2018-01-08,0.7997925266240642,0.7769402830171869,0.8245951066527774,1
28,D20180120,2018-01-20,0.7877477050545387,0.7578968349714965,0.8151138671486521,1
29,D20180201,2018-02-01,0.7373400545460413,0.7113876539856513,0.7615349273337504,1
30,D20180213,2018-02-13,0.7597638425148008,0.7297618824018944,0.7932291583891629,1
