k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.45217015505541786,0.4191154033494262,0.4877154873954796,,0
12,D20170712,2017-07-12,0.5070316939577573,0.46718377672401856,0.5458707600914956,,0
13,D20170724,2017-07-24,0.4811946955479468,0.44493562836363293,0.5188570572420478,,0
14,D20170805,2017-08-05,0.4110974217918046,0.3722436117836387,0.44708071286334394,,0
15,D20170817,2017-08-17,0.41975750803451617,0.3781162103825528,0.45487252219341096,,0
16,D20170829,2017-08-29,0.45288645664703997,0.416225544269826,0.4981087250309203,,0
17,D20170910,2017-09-10,0.46304122554426985,0.42620362544112245,0.5001326351780486,,0
18,D20170922,2017-09-22,0.46961926182733305,0.4304485480566738,0.510879964566948,,0
19,D20171004,2017-10-04,0.4259368030982431,0.389028468212923,0.4613427550869351,,0
20,D20171016,2017-10-16,0.3610756939768587,0.32771191782588144,0.39590836592505574,,0
21,D20171028,2017-10-28,0.344744017687874,0.3071753124268775,0.3794092541390294,,0
22,D20171109,2017-11-09,0.4262854032061659,0.39254831454235495,0.46464783032247897,,0
23,D20171121,2017-11-21,0.5251660625856578,0.4864068640793853,0.5598954677210626,,0
24,D20171203,2017-12-03,0.6297389319465735,0.5934848191816016,0.6683002521381602,,0
25,D20171215,2017-12-15,0.671630636696608,0.632568144158083,0.706311393015582,,0
26,D20171227,2017-12-27,0.7467229202183286,0.7142936191854219,0.7779168397728846,0.004975124378109453,1
27,D20180108,2018-01-08,0.7134125085359273,0.6819693160274869,0.7460306147300259,0.004975124378109453,1
28,D20180120,2018-01-20,0.706770005109618,0.6744338829754214,0.7453286391702362,0.004975124378109453,1
29,D20180201,2018-02-01,0.6574717419022105,0.6210800992316472,0.6925102908661996,0.004975124378109453,1
30,D20180213,2018-02-13,0.6371478780759183,0.5964574110950343,0.6766785930881672,0.004975124378109453,1
