k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.36566773148475906,0.3344530538510921,0.3993809570937545,0
12,D20170712,2017-07-12,0.5215337907572248,0.4799225382161817,0.5556775790053126,0
13,D20170724,2017-07-24,0.4895839503836186,0.44610547357917096,0.5267684119377136,0
14,D20170805,2017-08-05,0.45241645319736795,0.4156667923643248,0.4874864911137534,0
15,D20170817,2017-08-17,0.5294472048163875,0.48642548368314364,0.5678963605952771,0
16,D20170829,2017-08-29,0.5424882164465512,0.5055566552093973,0.5760609111105652,0
17,D20170910,2017-09-10,0.54702320494353,0.5162520811149623,0.5771531924556361,0
18,D20170922,2017-09-22,0.5940919211081044,0.5577877886410735,0.6251627507752558,0
19,D20171004,2017-10-04,0.5171558039328437,0.4809649498581928,0.554425123446177,0
20,D20171016,2017-10-16,0.45687029205682306,0.42223601204193195,0.49190546813708846,0
21,D20171028,2017-10-28,0.4745967922535568,0.44360416242256473,0.5117372415673005,0
22,D20171109,2017-11-09,0.5505297361649499,0.5204008743933644,0.5831298692792515,0
23,D20171121,2017-11-21,0.6466400438063562,0.6160438191186619,0.6724146496045339,0
24,D20171203,2017-12-03,0.7530016937879831,0.7312153518739788,0.7785728415520818,0
25,D20171215,2017-12-15,0.7695605542448003,0.7468923481430217,0.7948986737211468,0
26,D20171227,2017-12-27,0.8343263929925242,0.8112982870443279,0.8551243287094895,1
27,D20180108,2018-01-08,0.7881565836436042,0.7626101720709435,0.8130699377435393,1
28,D20180120,2018-01-20,0.7795195652498469,0.7513704536336977,0.8077141399270182,1
29,D20180201,2018-02-01,0.7432459180769125,0.7183439718822526,0.7679254010887054,1
30,D20180213,2018-02-13,0.7666136424821482,0.7368894091776628,0.7973498984545929,1
