k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4450525049066658,0.4083675367343333,0.48265899507662036,,0
12,D20170712,2017-07-12,0.4816268641748922,0.43753438247639787,0.5236942418902721,,0
13,D20170724,2017-07-24,0.45962924229617635,0.4170919707366923,0.4981539714147912,,0
14,D20170805,2017-08-05,0.39297737919573655,0.35251583026517486,0.4317900615541834,,0
15,D20170817,2017-08-17,0.4227874637670779,0.38044616038470175,0.4610348647861362,,0
16,D20170829,2017-08-29,0.4381330315315961,0.39879732962766645,0.47748813327029876,,0
17,D20170910,2017-09-10,0.45969370943942234,0.4235660239053718,0.49443929105243806,,0
18,D20170922,2017-09-22,0.4638506463428028,0.4229180694239502,0.5027381225257749,,0
19,D20171004,2017-10-04,0.4196070847002755,0.38089080459770114,0.4580989833292743,,0
20,D20171016,2017-10-16,0.36356126049978754,0.3299092923417809,0.40237943450377006,,0
21,D20171028,2017-10-28,0.3663452860192255,0.327727258618302,0.4010543362510685,,0
22,D20171109,2017-11-09,0.43023461264797597,0.397576692023743,0.4625459626854624,,0
23,D20171121,2017-11-21,0.5209446585390313,0.4808209055007187,0.5546851496354025,,0
24,D20171203,2017-12-03,0.6356484200774561,0.6010307579903443,0.6739322330940886,,0
25,D20171215,2017-12-15,0.6743788471364651,0.6387732260791084,0.7063444622723951,,0
26,D20171227,2017-12-27,0.7710198702061517,0.7402908900763578,0.7994688026780129,0.004975124378109453,1
27,D20180108,2018-01-08,0.6915748606793405,0.6598749337421027,0.7276793261034625,0.004975124378109453,1
28,D20180120,2018-01-20,0.6847246297914606,0.651999914043809,0.7191271626338885,0.004975124378109453,1
29,D20180201,2018-02-01,0.6600098372085248,0.6246000649446776,0.6932356656113157,0.004975124378109453,1
30,D20180213,2018-02-13,0.6499195354545411,0.6134230739844038,0.687932705853139,0.004975124378109453,1
