k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.6403433476394849,0.39476394849785407,0.8395708154506437,0
12,D20240530,2024-05-30,0.41287553648068664,0.093068669527897,0.7775321888412016,0
13,D20240611,2024-06-11,0.6360515021459228,0.3251716738197425,0.9051716738197424,0
14,D20240623,2024-06-23,0.6145922746781115,0.40416309012875534,0.816115879828326,0
15,D20240705,2024-07-05,0.49785407725321884,0.19336909871244634,0.7816523605150214,0
16,D20240717,2024-07-17,0.4369098712446352,0.259549356223176,0.6474892703862655,0
17,D20240729,2024-07-29,0.49699570815450644,0.26067596566523604,0.7257725321888411,0
18,D20240822,2024-08-22,0.5,0.33009656652360514,0.6970815450643777,0
19,D20240903,2024-09-03,0.5098712446351932,0.26781115879828327,0.7845493562231759,0
20,D20240915,2024-09-15,0.5218884120171674,0.2871030042918455,0.7769098712446352,0
21,D20240927,2024-09-27,0.48240343347639486,0.2685836909871245,0.7117596566523603,0
22,D20241009,2024-10-09,0.6068669527896996,0.36087982832618026,0.8626609442060086,0
23,D20241021,2024-10-21,0.586266094420601,0.2980364806866953,0.8703862660944207,0
24,D20241102,2024-11-02,0.6510729613733905,0.3846244635193133,0.9060300429184549,0
25,D20241114,2024-11-14,0.6287553648068669,0.39074034334763946,0.890214592274678,0
26,D20241126,2024-11-26,0.5879828326180259,0.31007510729613735,0.8640557939914163,0
27,D20241208,2024-12-08,0.5145922746781116,0.30406652360515024,0.739184549356223,0
28,D20241220,2024-12-20,0.6416309012875536,0.47013948497854074,0.8477467811158798,1
29,D20250101,2025-01-01,0.6532188841201717,0.5205364806866953,0.8137768240343347,1
30,D20250113,2025-01-13,0.809442060085837,0.6808261802575107,0.9429399141630901,1
31,D20250125,2025-01-25,0.8210300429184549,0.6690450643776823,0.9313733905579399,1
32,D20250206,2025-02-06,0.844206008583691,0.7634978540772533,0.9108154506437767,1
