k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5026147243314625,0.456312974579069,0.5513948497854076,,0
12,D20240530,2024-05-30,0.5292505777484319,0.48108814790359855,0.5806482337405083,,0
13,D20240611,2024-06-11,0.5461010234400792,0.49828689336414655,0.5929380983823044,,0
14,D20240623,2024-06-23,0.537655992076593,0.49100396170353255,0.587328821393199,,0
15,D20240705,2024-07-05,0.4602310993727303,0.4147466160448993,0.5093256850445692,,0
16,D20240717,2024-07-17,0.45823704192802905,0.41873440079234076,0.5008492901947837,,0
17,D20240729,2024-07-29,0.47612413337735227,0.43341928029052496,0.5243433476394849,,0
18,D20240822,2024-08-22,0.5064971937933311,0.4628344338065368,0.5500685044569165,,0
19,D20240903,2024-09-03,0.5724529547705512,0.5210751072961374,0.6160353251898316,,0
20,D20240915,2024-09-15,0.5900627269725982,0.544305711455926,0.6347365467150875,,0
21,D20240927,2024-09-27,0.6211356883459889,0.5750480356553318,0.6672433146252889,,0
22,D20241009,2024-10-09,0.6264905909541103,0.5800097391878507,0.6744800264113568,,0
23,D20241021,2024-10-21,0.6438098382304391,0.5942457906899966,0.6916079564212612,,0
24,D20241102,2024-11-02,0.667282931660614,0.6211079564212612,0.7094780455595906,,0
25,D20241114,2024-11-14,0.6613865962363816,0.6131772862330802,0.7064724331462527,,0
26,D20241126,2024-11-26,0.6573918785077583,0.6102269725982172,0.6997439749092109,,0
27,D20241208,2024-12-08,0.6051700231099373,0.5543742159128425,0.6507865632221855,,0
28,D20241220,2024-12-20,0.6475470452294487,0.6038823043908881,0.687908880818752,0.004975124378109453,1
29,D20250101,2025-01-01,0.6178276658963354,0.5729521294156488,0.6674739187850774,0.004975124378109453,1
30,D20250113,2025-01-13,0.6075734565863321,0.5626693628260152,0.6544437107956421,0.004975124378109453,1
31,D20250125,2025-01-25,0.6564476724991748,0.6107890392868933,0.7020954110267414,0.004975124378109453,1
32,D20250206,2025-02-06,0.6260746120831958,0.5769659953780125,0.6738600198085176,0.004975124378109453,1
