k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.16716238856315613,0.2084486335515976,0.2328891158103943,-0.04128624498844147,-0.06856597773730755,-0.015700720623135586,0
12,D20170712,2017-07-12,0.3903602063655853,0.38829442858695984,0.33333641290664673,0.0020657777786254883,-0.03615626990795135,0.03221555203199384,0
13,D20170724,2017-07-24,0.37652692198753357,0.41021624207496643,0.38365378975868225,-0.03368932008743286,-0.06808093637228012,0.004313312470912922,0
14,D20170805,2017-08-05,0.35493847727775574,0.44519346952438354,0.3838613033294678,-0.09025499224662781,-0.12204916030168533,-0.056529857218265554,0
15,D20170817,2017-08-17,0.38982895016670227,0.4835929870605469,0.39319902658462524,-0.0937640368938446,-0.13422112837433814,-0.05989107340574265,0
16,D20170829,2017-08-29,0.44009000062942505,0.4997398257255554,0.4120827913284302,-0.05964982509613037,-0.1035567045211792,-0.022579924017191024,0
17,D20170910,2017-09-10,0.4524375796318054,0.49960675835609436,0.43451550602912903,-0.04716917872428894,-0.08377986997365952,-0.007738251984119424,0
18,D20170922,2017-09-22,0.5072066187858582,0.5530608296394348,0.43985414505004883,-0.04585421085357666,-0.08379438892006874,-0.00952659994363786,0
19,D20171004,2017-10-04,0.47514045238494873,0.5555765628814697,0.45491039752960205,-0.080436110496521,-0.12359209284186363,-0.042077000439167046,0
20,D20171016,2017-10-16,0.37900233268737793,0.5225557684898376,0.4274551570415497,-0.14355343580245972,-0.17829117998480798,-0.10280677229166033,0
21,D20171028,2017-10-28,0.40690645575523376,0.5282185077667236,0.42534977197647095,-0.12131205201148987,-0.15539766177535058,-0.08576509729027748,0
22,D20171109,2017-11-09,0.5122526288032532,0.5483092665672302,0.46018746495246887,-0.03605663776397705,-0.06650083437561989,0.0016635671257972625,0
23,D20171121,2017-11-21,0.6161169409751892,0.5775201916694641,0.4725789427757263,0.0385967493057251,0.0018451690673828142,0.07109666913747786,0
24,D20171203,2017-12-03,0.6920309066772461,0.5889256000518799,0.4713672995567322,0.10310530662536621,0.07413497865200043,0.13450430780649184,0
25,D20171215,2017-12-15,0.7411805391311646,0.5882523059844971,0.48878201842308044,0.15292823314666748,0.12311677783727647,0.18195241689682007,0
26,D20171227,2017-12-27,0.7972249388694763,0.6030834913253784,0.5176030993461609,0.1941414475440979,0.16572584211826324,0.222386685013771,1
27,D20180108,2018-01-08,0.8008753061294556,0.6128120422363281,0.5137780904769897,0.18806326389312744,0.1623701810836792,0.21477291733026505,1
28,D20180120,2018-01-20,0.7695195078849792,0.6088087558746338,0.5190861821174622,0.16071075201034546,0.12973076105117798,0.18822520822286606,1
29,D20180201,2018-02-01,0.7707834243774414,0.603753924369812,0.5344290137290955,0.1670295000076294,0.13578520566225052,0.1951433047652244,1
30,D20180213,2018-02-13,0.7491673231124878,0.6727785468101501,0.540202796459198,0.07638877630233765,0.028475657105445862,0.11985056698322295,1
