k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5270056124133378,0.4828682733575438,0.5756302410036316,,0
12,D20240530,2024-05-30,0.5002112908550677,0.4543215582700561,0.5461909871244636,,0
13,D20240611,2024-06-11,0.5538659623638165,0.5019300099042588,0.6051442720369758,,0
14,D20240623,2024-06-23,0.5113040607461209,0.4608412017167382,0.5599143281611093,,0
15,D20240705,2024-07-05,0.4682073291515352,0.42407180587652693,0.5162073291515351,,0
16,D20240717,2024-07-17,0.4644040937603169,0.4194697920105645,0.5045980521624299,,0
17,D20240729,2024-07-29,0.4826939584021129,0.43900561241333774,0.5309384285242654,,0
18,D20240822,2024-08-22,0.5022647738527567,0.45553284912512376,0.548706008583691,,0
19,D20240903,2024-09-03,0.559068999669858,0.5070620666886761,0.6041350280620666,,0
20,D20240915,2024-09-15,0.5705447342357213,0.5212675800594256,0.617939584021129,,0
21,D20240927,2024-09-27,0.6000792340706504,0.5532821063057114,0.651179102013866,,0
22,D20241009,2024-10-09,0.6141036645757676,0.5697076592934962,0.6621409706173655,,0
23,D20241021,2024-10-21,0.6351997358864312,0.5856426213271707,0.6788086827335754,,0
24,D20241102,2024-11-02,0.6558336084516342,0.607457906899967,0.7003780125453944,,0
25,D20241114,2024-11-14,0.6536018487949818,0.6043773522614724,0.7024339716077912,,0
26,D20241126,2024-11-26,0.6454737537140971,0.5959303400462198,0.6890615714757345,,0
27,D20241208,2024-12-08,0.5975239352921756,0.5456262793000991,0.6401800924397492,,0
28,D20241220,2024-12-20,0.6522614724331462,0.6095622317596566,0.6921125784087157,0.004975124378109453,1
29,D20250101,2025-01-01,0.6206404754044239,0.575076923076923,0.6692490921096071,0.004975124378109453,1
30,D20250113,2025-01-13,0.6149620336744801,0.5687235061076262,0.6603512710465501,0.004975124378109453,1
31,D20250125,2025-01-25,0.6458104985143612,0.5973111587982832,0.6918306371739849,0.004975124378109453,1
32,D20250206,2025-02-06,0.6096203367448003,0.5648880818752062,0.6511551667216904,0.004975124378109453,1
