k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.2938586175441742,0.2731245160102844,0.2574700713157654,0.02073410153388977,-0.02025652304291725,0.057514787465333915,0
12,D20240530,2024-05-30,0.3739217221736908,0.3852686285972595,0.5212649703025818,-0.011346906423568726,-0.053428944945335385,0.029137393832206707,0
13,D20240611,2024-06-11,0.4086005687713623,0.3685396611690521,0.30885469913482666,0.04006090760231018,-0.001247426122426986,0.08584129214286802,0
14,D20240623,2024-06-23,0.44168224930763245,0.4349333345890045,0.3561709523200989,0.00674891471862793,-0.04296295866370201,0.0534462474286556,0
15,D20240705,2024-07-05,0.5133568048477173,0.5443408489227295,0.5175042748451233,-0.030984044075012207,-0.07228369787335395,0.015847735106944986,0
16,D20240717,2024-07-17,0.5142056345939636,0.5491408109664917,0.5562393069267273,-0.034935176372528076,-0.07654860094189643,0.009131456911563833,0
17,D20240729,2024-07-29,0.5138953328132629,0.5310011506080627,0.5168547034263611,-0.017105817794799805,-0.06653724163770676,0.030798390507698,0
18,D20240822,2024-08-22,0.5060005784034729,0.5015968084335327,0.5216752290725708,0.0044037699699401855,-0.04771702885627747,0.05124533921480166,0
19,D20240903,2024-09-03,0.5408678650856018,0.480316162109375,0.5816068649291992,0.06055170297622681,0.009370294213294984,0.10413820147514344,0
20,D20240915,2024-09-15,0.5614020228385925,0.488800048828125,0.5627008676528931,0.07260197401046753,0.02982625886797905,0.11586116030812259,0
21,D20240927,2024-09-27,0.621248722076416,0.5247074365615845,0.538974404335022,0.09654128551483154,0.04944345653057099,0.14358212649822236,0
22,D20241009,2024-10-09,0.669634222984314,0.5683807730674744,0.5232820510864258,0.1012534499168396,0.05392029732465744,0.14439111799001692,0
23,D20241021,2024-10-21,0.7024239897727966,0.5808173418045044,0.5783247947692871,0.12160664796829224,0.08593738377094269,0.1641957625746727,0
24,D20241102,2024-11-02,0.7398679256439209,0.5948612093925476,0.5604786276817322,0.1450067162513733,0.10229969024658203,0.18839540183544157,0
25,D20241114,2024-11-14,0.7311155200004578,0.5834535360336304,0.5747008323669434,0.1476619839668274,0.10175620168447494,0.19652517288923263,0
26,D20241126,2024-11-26,0.6820454001426697,0.5432041883468628,0.55982905626297,0.13884121179580688,0.0968514621257782,0.18375779986381527,0
27,D20241208,2024-12-08,0.6207687854766846,0.5268959999084473,0.589435875415802,0.0938727855682373,0.047431887686252595,0.14365900233387943,0
28,D20241220,2024-12-20,0.6682667136192322,0.5221559405326843,0.5755555629730225,0.14611077308654785,0.10496251583099366,0.1918105237185955,1
29,D20250101,2025-01-01,0.659707248210907,0.5417157411575317,0.5445470213890076,0.11799150705337524,0.07532219737768173,0.16065269112586972,1
30,D20250113,2025-01-13,0.6666930317878723,0.5521756410598755,0.30287179350852966,0.11451739072799683,0.06075798720121384,0.16293133050203318,1
31,D20250125,2025-01-25,0.6793792843818665,0.5321299433708191,0.31442737579345703,0.14724934101104736,0.09654802531003952,0.19812653958797455,1
32,D20250206,2025-02-06,0.6425736546516418,0.5254769325256348,0.27213674783706665,0.11709672212600708,0.05998402386903763,0.16510363817214965,1
