k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.35876399229247,0.32215619282502356,0.3976395749685394,0
12,D20170712,2017-07-12,0.5170996975069001,0.47411453585056135,0.5564302418933438,0
13,D20170724,2017-07-24,0.48172640195028826,0.4394389405565661,0.5165716529627323,0
14,D20170805,2017-08-05,0.45581727316990717,0.42287533633755553,0.4902407567673259,0
15,D20170817,2017-08-17,0.5109867458802713,0.47535967108631194,0.5467686972858457,0
16,D20170829,2017-08-29,0.5466087879519035,0.5108818774317802,0.5791098197803807,0
17,D20170910,2017-09-10,0.5472071762285983,0.5164658815138236,0.5768613728206987,0
18,D20170922,2017-09-22,0.610985252919581,0.5782238981107305,0.6402224378988552,0
19,D20171004,2017-10-04,0.5396133039171918,0.5049212318755777,0.5718279341132367,0
20,D20171016,2017-10-16,0.4858785182702268,0.45088018460699736,0.5169469038162482,0
21,D20171028,2017-10-28,0.4950496313109495,0.46164912076655346,0.5260868151825433,0
22,D20171109,2017-11-09,0.5444148581374304,0.508668581268352,0.5783662230165415,0
23,D20171121,2017-11-21,0.6403436024948819,0.6103822533207539,0.668263044984832,0
24,D20171203,2017-12-03,0.7298280542724922,0.7058583175488861,0.7578712258796548,0
25,D20171215,2017-12-15,0.7719040209284194,0.7483125932197432,0.7978168399705068,0
26,D20171227,2017-12-27,0.7969968373313376,0.7704608035210756,0.8231559768273237,1
27,D20180108,2018-01-08,0.7859291826136541,0.7596625379079576,0.8099437382579846,1
28,D20180120,2018-01-20,0.7721946666628139,0.7441413633909665,0.7982171159755944,1
29,D20180201,2018-02-01,0.7462458058640606,0.7175237043629609,0.7709691506161352,1
30,D20180213,2018-02-13,0.7847071220485733,0.753721427260788,0.8181134358756527,1
