k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.40997044062098575,0.37317008820060266,0.45503488388751195,,0
12,D20170712,2017-07-12,0.4595910395446232,0.41632355820427963,0.5034003433472296,,0
13,D20170724,2017-07-24,0.4467764040705032,0.40857329436652673,0.4890007115262477,,0
14,D20170805,2017-08-05,0.39635115969227686,0.3598478336652198,0.43036432292785887,,0
15,D20170817,2017-08-17,0.4126541839175967,0.3761765253642394,0.4455157132692482,,0
16,D20170829,2017-08-29,0.4431757947366159,0.4031337000797483,0.4840758993166483,,0
17,D20170910,2017-09-10,0.4556107903671762,0.41983516706540785,0.49289649680768255,,0
18,D20170922,2017-09-22,0.4609257481770125,0.4185899364401721,0.4992797587496239,,0
19,D20171004,2017-10-04,0.4273264281859901,0.3899823431657665,0.4643555792730971,,0
20,D20171016,2017-10-16,0.3865091758233887,0.3518993930537847,0.42139867436452105,,0
21,D20171028,2017-10-28,0.39024349478771203,0.35038984714124033,0.423446819382166,,0
22,D20171109,2017-11-09,0.43486669627379915,0.39728068039100517,0.4662842213085397,,0
23,D20171121,2017-11-21,0.5092379028599534,0.468388596001127,0.5424079194303969,,0
24,D20171203,2017-12-03,0.602607815327899,0.565538730427059,0.6444683012668988,,0
25,D20171215,2017-12-15,0.6947218123385336,0.6600734686665807,0.7253900859084376,,0
26,D20171227,2017-12-27,0.7250452463838708,0.6882694869848001,0.7560651046516625,0.004975124378109453,1
27,D20180108,2018-01-08,0.682434852370242,0.645372870793519,0.7155995563705475,0.004975124378109453,1
28,D20180120,2018-01-20,0.6768882903791146,0.643298222616984,0.7163415254358695,0.004975124378109453,1
29,D20180201,2018-02-01,0.6757541461923795,0.6391495828737066,0.7095314074371206,0.004975124378109453,1
30,D20180213,2018-02-13,0.6550936206180251,0.6163267815614419,0.6923747307899851,0.004975124378109453,1
