k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.42787081739562294,0.38995715322646113,0.4706144435052934,,0
12,D20170712,2017-07-12,0.47918666341943283,0.4350886303836034,0.519921421715399,,0
13,D20170724,2017-07-24,0.46958583441972407,0.42584296758974066,0.5068242649551833,,0
14,D20170805,2017-08-05,0.42067437407179253,0.38290707419451886,0.458575323887703,,0
15,D20170817,2017-08-17,0.4102235338500255,0.37087863940900345,0.4434104431996715,,0
16,D20170829,2017-08-29,0.4510169094929062,0.4108251674951888,0.4955287857732953,,0
17,D20170910,2017-09-10,0.46869762044611263,0.4294109852012091,0.5020696937571928,,0
18,D20170922,2017-09-22,0.47734338065699183,0.4359290909177734,0.5183523033871514,,0
19,D20171004,2017-10-04,0.4572606716998792,0.4192125815986896,0.49528106480619266,,0
20,D20171016,2017-10-16,0.37458036665090805,0.33853087737394283,0.4125879857121709,,0
21,D20171028,2017-10-28,0.40795047013261126,0.36923556294142085,0.442132262701221,,0
22,D20171109,2017-11-09,0.4647269219565539,0.42495367916374177,0.4995793518903199,,0
23,D20171121,2017-11-21,0.5218066081209499,0.48100129411820886,0.554560274391263,,0
24,D20171203,2017-12-03,0.6091548118753253,0.573114992669847,0.6497145538157386,,0
25,D20171215,2017-12-15,0.6784355018170184,0.6425391220052625,0.7102960593861772,,0
26,D20171227,2017-12-27,0.7373178803203302,0.7019883338347445,0.7683392905749037,0.004975124378109453,1
27,D20180108,2018-01-08,0.6979284557970288,0.6613848974972423,0.7365786570777759,0.004975124378109453,1
28,D20180120,2018-01-20,0.6862408014937276,0.6528495671150715,0.7216001938789641,0.004975124378109453,1
29,D20180201,2018-02-01,0.681174161568987,0.6468255304213287,0.7111745435965025,0.004975124378109453,1
30,D20180213,2018-02-13,0.5981571947719535,0.5634044501430215,0.6398110277017702,0.004975124378109453,1
