k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.5158798283261803,0.36991416309012876,0.7099141630901287,0
12,D20240530,2024-05-30,0.4244635193133047,0.1482725321888412,0.7183476394849783,0
13,D20240611,2024-06-11,0.6755364806866953,0.34422746781115876,0.8897210300429185,0
14,D20240623,2024-06-23,0.5836909871244635,0.4077896995708155,0.7791845493562226,0
15,D20240705,2024-07-05,0.48712446351931327,0.1844206008583691,0.7604613733905579,0
16,D20240717,2024-07-17,0.45236051502145924,0.273068669527897,0.6474785407725322,0
17,D20240729,2024-07-29,0.4927038626609441,0.26135193133047213,0.7254935622317595,0
18,D20240822,2024-08-22,0.5047210300429185,0.3286695278969957,0.6923390557939914,0
19,D20240903,2024-09-03,0.47982832618025756,0.24532188841201716,0.7579399141630903,0
20,D20240915,2024-09-15,0.48626609442060087,0.20858369098712445,0.7848068669527895,0
21,D20240927,2024-09-27,0.5476394849785408,0.249206008583691,0.8433690987124464,0
22,D20241009,2024-10-09,0.5793991416309012,0.28746781115879827,0.8674034334763949,0
23,D20241021,2024-10-21,0.553648068669528,0.2604935622317596,0.8480686695278971,0
24,D20241102,2024-11-02,0.6021459227467811,0.33725321888412013,0.8576824034334762,0
25,D20241114,2024-11-14,0.5858369098712446,0.30643776824034336,0.8675751072961372,0
26,D20241126,2024-11-26,0.5313304721030043,0.21156652360515021,0.8382188841201716,0
27,D20241208,2024-12-08,0.4811158798283262,0.24225321888412019,0.7335407725321887,0
28,D20241220,2024-12-20,0.5223175965665237,0.3278111587982832,0.793175965665236,1
29,D20250101,2025-01-01,0.5416309012875536,0.3705257510729614,0.7523497854077251,1
30,D20250113,2025-01-13,0.8051502145922746,0.6495708154506438,0.955450643776824,1
31,D20250125,2025-01-25,0.809442060085837,0.6771244635193133,0.9240557939914164,1
32,D20250206,2025-02-06,0.849785407725322,0.7302575107296138,0.9344420600858369,1
