k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.14995387196540833,0.19575698673725128,0.22686657309532166,-0.04580311477184296,-0.06840846538543702,-0.022564204409718524,0
12,D20170712,2017-07-12,0.35736823081970215,0.3877878487110138,0.331533282995224,-0.030419617891311646,-0.06873580515384674,0.0030481107532977915,0
13,D20170724,2017-07-24,0.3650144636631012,0.4103299081325531,0.37837645411491394,-0.045315444469451904,-0.0811744898557663,-0.006231628358364107,0
14,D20170805,2017-08-05,0.341647207736969,0.43948832154273987,0.37878409028053284,-0.09784111380577087,-0.13334440663456917,-0.061657212674617774,0
15,D20170817,2017-08-17,0.3999004364013672,0.48446011543273926,0.3937281668186188,-0.08455967903137207,-0.12644268348813056,-0.04834198132157331,0
16,D20170829,2017-08-29,0.4556117057800293,0.5098111629486084,0.41309428215026855,-0.0541994571685791,-0.09049371033906936,-0.015596635639667523,0
17,D20170910,2017-09-10,0.4705101549625397,0.510624349117279,0.43141552805900574,-0.04011419415473938,-0.07784643396735191,-0.002935679256916047,0
18,D20170922,2017-09-22,0.5375767946243286,0.5660579204559326,0.434762179851532,-0.028481125831604004,-0.06477492153644562,0.004679019749164568,0
19,D20171004,2017-10-04,0.48466694355010986,0.553644597530365,0.448880136013031,-0.06897765398025513,-0.1063276894390583,-0.028897570073604596,0
20,D20171016,2017-10-16,0.4023074805736542,0.5229646563529968,0.4209316074848175,-0.12065717577934265,-0.15560878664255143,-0.07986279875040055,0
21,D20171028,2017-10-28,0.4204601049423218,0.5386152267456055,0.42962634563446045,-0.11815512180328369,-0.1558300696313381,-0.0834080271422863,0
22,D20171109,2017-11-09,0.49625614285469055,0.556244432926178,0.46001699566841125,-0.05998829007148743,-0.09235105067491531,-0.02344463020563126,0
23,D20171121,2017-11-21,0.5979404449462891,0.586296796798706,0.47188857197761536,0.011643648147583008,-0.02527884840965271,0.04322708994150161,0
24,D20171203,2017-12-03,0.67972332239151,0.5914686918258667,0.47248390316963196,0.08825463056564331,0.05579689145088196,0.12145415246486663,0
25,D20171215,2017-12-15,0.7285664677619934,0.5614786744117737,0.48423996567726135,0.16708779335021973,0.13916346728801726,0.19519520103931423,0
26,D20171227,2017-12-27,0.7825461030006409,0.5855649709701538,0.5151906609535217,0.19698113203048706,0.16629748046398163,0.22636601775884618,1
27,D20180108,2018-01-08,0.7725031971931458,0.6078749895095825,0.5056886672973633,0.16462820768356323,0.13880970776081086,0.19269816279411311,1
28,D20180120,2018-01-20,0.7676559686660767,0.6020737290382385,0.5109389424324036,0.16558223962783813,0.13277626782655716,0.1967324689030647,1
29,D20180201,2018-02-01,0.7569260597229004,0.5768418908119202,0.523059606552124,0.18008416891098022,0.1453518256545067,0.20958896726369858,1
30,D20180213,2018-02-13,0.8118087649345398,0.6752026677131653,0.5337905883789062,0.1366060972213745,0.09417477995157242,0.1723193511366844,1
