k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4143088405942439,0.3758114503197093,0.4578273259506515,,0
12,D20170712,2017-07-12,0.4664317197446146,0.4211220625665564,0.5093999660950579,,0
13,D20170724,2017-07-24,0.44093854609878275,0.4015445849987345,0.48161158307427093,,0
14,D20170805,2017-08-05,0.3956897745560124,0.3567885095674016,0.4337259859891408,,0
15,D20170817,2017-08-17,0.40788361531739326,0.36647553352530216,0.44300680725279235,,0
16,D20170829,2017-08-29,0.42824806956721057,0.3874970751018342,0.46944734944534383,,0
17,D20170910,2017-09-10,0.46109288521505765,0.42093451093314993,0.49743629691178504,,0
18,D20170922,2017-09-22,0.46604014154119455,0.4262720322431223,0.5054032419810036,,0
19,D20171004,2017-10-04,0.4391740565114203,0.4005674302441633,0.4761950895138222,,0
20,D20171016,2017-10-16,0.35090898671976845,0.3142834118877412,0.38819666298965183,,0
21,D20171028,2017-10-28,0.3832762679732008,0.3451028847852767,0.4175189461770983,,0
22,D20171109,2017-11-09,0.4426648329345921,0.4085247649336944,0.475863203109704,,0
23,D20171121,2017-11-21,0.5243590294590968,0.4868566417871247,0.559191940174491,,0
24,D20171203,2017-12-03,0.6113299810418845,0.5751212340443821,0.6501705991624046,,0
25,D20171215,2017-12-15,0.6579039105291558,0.619333696259473,0.6895421758377148,,0
26,D20171227,2017-12-27,0.732361073306305,0.6972535803141221,0.7645617547478857,0.004975124378109453,1
27,D20180108,2018-01-08,0.6762794340262357,0.6402586565047347,0.7128180379066802,0.004975124378109453,1
28,D20180120,2018-01-20,0.6626577654255548,0.6302022000009551,0.699158942547837,0.004975124378109453,1
29,D20180201,2018-02-01,0.6729199795615279,0.6382882899015802,0.7061965459937252,0.004975124378109453,1
30,D20180213,2018-02-13,0.5763577496669197,0.5361263126226666,0.6201354168158962,0.004975124378109453,1
