k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4107917997793791,0.3718414681317421,0.45072794149248596,,0
12,D20170712,2017-07-12,0.4939711282705137,0.45461125118786677,0.5367256779794564,,0
13,D20170724,2017-07-24,0.4589344297523029,0.4171213391019488,0.49758815284920893,,0
14,D20170805,2017-08-05,0.4110735450720838,0.37171772703178946,0.44679222239731814,,0
15,D20170817,2017-08-17,0.4156172848349402,0.37507849471608196,0.4521873462936168,,0
16,D20170829,2017-08-29,0.45800801302713834,0.42167474893629214,0.49963659632585034,,0
17,D20170910,2017-09-10,0.47962121971835026,0.4424723268818437,0.5163370485509219,,0
18,D20170922,2017-09-22,0.4707629567019564,0.42866686723111236,0.5094317818240859,,0
19,D20171004,2017-10-04,0.435119789502839,0.39962137491702837,0.4726969709993363,,0
20,D20171016,2017-10-16,0.37863463365948935,0.34337534442168194,0.41706469158441134,,0
21,D20171028,2017-10-28,0.37380914860392817,0.3363987459946803,0.40620382839324,,0
22,D20171109,2017-11-09,0.45636768238232356,0.42304360127788204,0.4916137200406858,,0
23,D20171121,2017-11-21,0.5279190483694588,0.48853045953134777,0.5607333018160633,,0
24,D20171203,2017-12-03,0.6281344163813398,0.5893610112268337,0.6677898275623302,,0
25,D20171215,2017-12-15,0.6749065226422933,0.6400979064892149,0.70394664269444,,0
26,D20171227,2017-12-27,0.7338199408812419,0.6968871920500073,0.7643497891685649,0.004975124378109453,1
27,D20180108,2018-01-08,0.7111657092102059,0.6796119077976591,0.7475032711106018,0.004975124378109453,1
28,D20180120,2018-01-20,0.6788437937242429,0.6465148346059625,0.7126708976214012,0.004975124378109453,1
29,D20180201,2018-02-01,0.6805223271206109,0.6452901976514858,0.709850639179787,0.004975124378109453,1
30,D20180213,2018-02-13,0.5606850708422274,0.524070538993071,0.6017176912167098,0.009950248756218905,1
