k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.3696101109077153,0.3312144428535584,0.4048096752039938,0
12,D20170712,2017-07-12,0.5376596926138418,0.49659316604467996,0.5776365444991381,0
13,D20170724,2017-07-24,0.4741224160342052,0.4324681927132923,0.5100741736582979,0
14,D20170805,2017-08-05,0.4677236346754087,0.4355271788677675,0.4993092588606013,0
15,D20170817,2017-08-17,0.5012312109693119,0.4657411092986889,0.5417112989673047,0
16,D20170829,2017-08-29,0.5359791486367584,0.5013513341048569,0.5727635448858631,0
17,D20170910,2017-09-10,0.5490302738715986,0.5181055436520033,0.5782969689045183,0
18,D20170922,2017-09-22,0.5970648392827816,0.5629625770138956,0.6298164958671477,0
19,D20171004,2017-10-04,0.5670084101846888,0.5309811015256614,0.5958840819567994,0
20,D20171016,2017-10-16,0.4474935357210109,0.4099538157426444,0.48228230706733877,0
21,D20171028,2017-10-28,0.5071866793231206,0.4783415229451202,0.5381761065126317,0
22,D20171109,2017-11-09,0.595528293772283,0.5668498553513731,0.6264574787939381,0
23,D20171121,2017-11-21,0.6552349221806281,0.6269300008524323,0.682436647898706,0
24,D20171203,2017-12-03,0.7414709804561814,0.7185768436499325,0.7697085740732447,0
25,D20171215,2017-12-15,0.7551951420022336,0.7282067892628193,0.7829676362242349,0
26,D20171227,2017-12-27,0.794871535548598,0.7700760290231558,0.8215693087736484,1
27,D20180108,2018-01-08,0.7887723095283159,0.7580210757889455,0.8124369645508525,1
28,D20180120,2018-01-20,0.7647811536348054,0.7369340775983174,0.791809316652628,1
29,D20180201,2018-02-01,0.7471420638784904,0.7204368619700049,0.7708393473161141,1
30,D20180213,2018-02-13,0.6842997364201981,0.6498298867613397,0.7222658050357083,1
