k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5064311654011224,0.4655929349620337,0.5503611753053813,,0
12,D20240530,2024-05-30,0.535259161439419,0.4802855727963024,0.5803882469461868,,0
13,D20240611,2024-06-11,0.5405216242984484,0.49645840211290854,0.5897355562892043,,0
14,D20240623,2024-06-23,0.5019346318917134,0.4505033014196104,0.5521138989765598,,0
15,D20240705,2024-07-05,0.4672697259821723,0.42149752393529216,0.5131761307362166,,0
16,D20240717,2024-07-17,0.45383955100693296,0.4116799273687686,0.4941234730934302,,0
17,D20240729,2024-07-29,0.4671508748761967,0.421713931990756,0.5172030373060416,,0
18,D20240822,2024-08-22,0.5051832287883791,0.460720864971938,0.5503641465830307,,0
19,D20240903,2024-09-03,0.5683393859359525,0.5163238692637834,0.6106363486299108,,0
20,D20240915,2024-09-15,0.5780587652690656,0.5300188180917795,0.6249793661274349,,0
21,D20240927,2024-09-27,0.5968042258171014,0.553007593265104,0.6454985143611753,,0
22,D20241009,2024-10-09,0.6107824364476725,0.5627481016837239,0.6592446351931329,,0
23,D20241021,2024-10-21,0.6341498844503137,0.5840549686365136,0.6820090789039286,,0
24,D20241102,2024-11-02,0.6608583690987123,0.6165354902608121,0.7056312314295147,,0
25,D20241114,2024-11-14,0.6579201056454275,0.6105982172334105,0.7090912842522284,,0
26,D20241126,2024-11-26,0.6575833608451634,0.6092733575437439,0.6995356553317926,,0
27,D20241208,2024-12-08,0.6139451964344669,0.5669942225156818,0.6570625619016176,,0
28,D20241220,2024-12-20,0.6567514031033344,0.6069339716077914,0.700913007593265,0.004975124378109453,1
29,D20250101,2025-01-01,0.6224628590293826,0.5761515351601189,0.6727466160448993,0.004975124378109453,1
30,D20250113,2025-01-13,0.6128293166061407,0.5634820072631231,0.6604702872235061,0.004975124378109453,1
31,D20250125,2025-01-25,0.6500363156157147,0.6022991086167052,0.6958093430174975,0.004975124378109453,1
32,D20250206,2025-02-06,0.6124001320567845,0.5656006932981182,0.655217728623308,0.004975124378109453,1
