k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.45950747102560063,0.42080712863343983,0.495133805137315,,0
12,D20170712,2017-07-12,0.4624538582391397,0.4274070121150476,0.5018332545401584,,0
13,D20170724,2017-07-24,0.4683609586980503,0.42634927343141893,0.5103964013008037,,0
14,D20170805,2017-08-05,0.4250963425640732,0.3896737962551753,0.4634873620522518,,0
15,D20170817,2017-08-17,0.3929535024760158,0.35067415918131506,0.4374253255590731,,0
16,D20170829,2017-08-29,0.5056038661184572,0.4698581484081391,0.543736061964863,,0
17,D20170910,2017-09-10,0.3207885047920576,0.28708209771308785,0.3656983462983921,,0
18,D20170922,2017-09-22,0.3541108548343195,0.3142792334617901,0.3939809177255992,,0
19,D20171004,2017-10-04,0.28484449092445885,0.25592106833994716,0.3177178392523721,,0
20,D20171016,2017-10-16,0.35977441275207844,0.32123452191644103,0.3957969810275585,,0
21,D20171028,2017-10-28,0.5839338328343099,0.550621152863535,0.6158732432703464,,0
22,D20171109,2017-11-09,0.431399796570348,0.3943456346193334,0.46645082112039116,,0
23,D20171121,2017-11-21,0.5045723918265212,0.47350973453863016,0.5410957742981437,,0
24,D20171203,2017-12-03,0.43601755416433874,0.4004393316428616,0.46748050465834795,,0
25,D20171215,2017-12-15,0.6337645468914899,0.6036919377868191,0.6684717466775545,,0
26,D20171227,2017-12-27,0.9247167027205134,0.904143207789541,0.9417119130505375,0.004975124378109453,1
27,D20180108,2018-01-08,0.946926827404744,0.9286638826411473,0.963138165026336,0.004975124378109453,1
28,D20180120,2018-01-20,0.9528769059591519,0.9366809688217793,0.966170747198067,0.004975124378109453,1
29,D20180201,2018-02-01,0.9566924057705256,0.9434224412513311,0.9676789201992273,0.004975124378109453,1
30,D20180213,2018-02-13,0.9611573523583036,0.9484795304881835,0.9729161592863725,0.004975124378109453,1
31,D20180225,2018-02-25,0.5851563208840118,0.5514924143661447,0.6235572492108744,,0
