k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.028694303706288338,0.049308791756629944,0.055423181504011154,-0.020614488050341606,-0.03450022637844086,-0.006944901868701003,0
12,D20170712,2017-07-12,0.017057284712791443,0.032440606504678726,0.05645468086004257,-0.015383321791887283,-0.027163206459954382,-0.0010332729667425237,0
13,D20170724,2017-07-24,0.01181955449283123,0.024979593232274055,0.023652343079447746,-0.013160038739442825,-0.02085525095462799,-0.002852419950067997,0
14,D20170805,2017-08-05,0.01358328852802515,0.03459692746400833,0.02775401435792446,-0.02101363893598318,-0.03219289369881153,-0.00885171983391047,0
15,D20170817,2017-08-17,0.025101037696003914,0.021603284403681755,0.019480321556329727,0.003497753292322159,-0.008052855753339826,0.01649094629101453,0
16,D20170829,2017-08-29,0.007299652323126793,0.004111908376216888,0.011516665108501911,0.0031877439469099045,-0.0021665705484338106,0.010594992502592488,0
17,D20170910,2017-09-10,0.008515710011124611,0.01945413090288639,0.0167743768543005,-0.01093842089176178,-0.019577012071385978,-0.0032973142573609958,0
18,D20170922,2017-09-22,0.007536548189818859,0.01993451453745365,0.014260909520089626,-0.012397966347634792,-0.02008551578037441,-0.002751573920249949,0
19,D20171004,2017-10-04,0.003930345177650452,0.020612383261322975,0.019948098808526993,-0.016682038083672523,-0.023845343478024007,-0.009172196150757374,0
20,D20171016,2017-10-16,0.01158409845083952,0.02470562234520912,0.02648312970995903,-0.013121523894369602,-0.022582786437124015,-0.001753477798774842,0
21,D20171028,2017-10-28,0.02148888260126114,0.02707093395292759,0.036285001784563065,-0.0055820513516664505,-0.015620822366327048,0.0060237446334212965,0
22,D20171109,2017-11-09,0.047531116753816605,0.09136015921831131,0.0753563642501831,-0.043829042464494705,-0.0626167836599052,-0.024624400213360837,0
23,D20171121,2017-11-21,0.014373023994266987,0.04163358733057976,0.032195400446653366,-0.02726056333631277,-0.037510413024574515,-0.01770209353417158,0
24,D20171203,2017-12-03,0.009092951193451881,0.044724635779857635,0.029454275965690613,-0.035631684586405754,-0.04538847953081131,-0.02635830431245268,0
25,D20171215,2017-12-15,0.07752162218093872,0.0792822614312172,0.04067355394363403,-0.001760639250278473,-0.018529257737100124,0.01718809250742194,0
26,D20171227,2017-12-27,0.8836203217506409,0.3361142873764038,0.1717754453420639,0.5475060343742371,0.5186945989727973,0.5811507731676101,1
27,D20180108,2018-01-08,0.9180198311805725,0.28903043270111084,0.15030522644519806,0.6289893984794617,0.5986860021948814,0.6604742765426636,1
28,D20180120,2018-01-20,0.9223634004592896,0.28305408358573914,0.1580665111541748,0.6393093168735504,0.6116258800029755,0.6643391236662864,1
29,D20180201,2018-02-01,0.9271762371063232,0.2801145017147064,0.1303573101758957,0.6470617353916168,0.6167618423700333,0.67497179210186,1
30,D20180213,2018-02-13,0.9063860774040222,0.236711785197258,0.10240191221237183,0.6696742922067642,0.6414698272943496,0.6966145992279053,1
31,D20180225,2018-02-25,0.1188240647315979,0.11455057561397552,0.0689224898815155,0.0042734891176223755,-0.02115030437707901,0.030741575732827185,0
