k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.558018138027587,0.5264861821672107,0.5848686146432474,0
12,D20170712,2017-07-12,0.516379223573753,0.4851861457100738,0.5440627000145924,0
13,D20170724,2017-07-24,0.5672094782776628,0.5302308526587463,0.6005177563594105,0
14,D20170805,2017-08-05,0.5371638851845805,0.5059785249644699,0.5667242178932783,0
15,D20170817,2017-08-17,0.5907977755848914,0.5561241006717841,0.628203821401447,0
16,D20170829,2017-08-29,0.4552082896883131,0.4238159918725146,0.4833847321171001,0
17,D20170910,2017-09-10,0.2947451154901414,0.25761991484344865,0.3357260315997169,0
18,D20170922,2017-09-22,0.4051228297287965,0.3636242054198326,0.439325276884008,0
19,D20171004,2017-10-04,0.34671700352194246,0.3085144872570989,0.38261224535990224,0
20,D20171016,2017-10-16,0.4350482635663171,0.4037053357933473,0.464588224585595,0
21,D20171028,2017-10-28,0.6856523106456285,0.6688853988926085,0.7026879794029216,0
22,D20171109,2017-11-09,0.670147673076284,0.6452825813386656,0.692976559072361,0
23,D20171121,2017-11-21,0.6111027633739178,0.5821571572294695,0.6336949067405249,0
24,D20171203,2017-12-03,0.6465738237757361,0.6247094746656611,0.6672921690358989,0
25,D20171215,2017-12-15,0.822638196387902,0.8067014670987583,0.838938533845178,0
26,D20171227,2017-12-27,0.9678083963146024,0.952646537703759,0.9779370028380702,1
27,D20180108,2018-01-08,0.9782350411358829,0.9689442383998158,0.9872748579158943,1
28,D20180120,2018-01-20,0.9842945351377931,0.9760736554564583,0.9910298828122178,1
29,D20180201,2018-02-01,0.9889723181007998,0.9809968739329545,0.9937891751681146,1
30,D20180213,2018-02-13,0.9875727878536572,0.9820545643420305,0.9922538456981782,1
31,D20180225,2018-02-25,0.8884931740392435,0.8708247066693444,0.9063197989222751,0
