k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.55374050841862,0.5083469792010565,0.6014248927038626,,0
12,D20240530,2024-05-30,0.4750082535490261,0.4342697259821723,0.5209590623968305,,0
13,D20240611,2024-06-11,0.5402046880158469,0.4897091449323209,0.5899514691317266,,0
14,D20240623,2024-06-23,0.5990227797953119,0.5532918454935623,0.6491502145922746,,0
15,D20240705,2024-07-05,0.5408649719379333,0.4883034004621987,0.5856573126444371,,0
16,D20240717,2024-07-17,0.5418686034995048,0.4944314955430835,0.5934909210960713,,0
17,D20240729,2024-07-29,0.5431099372730275,0.4977147573456586,0.5907715417629581,,0
18,D20240822,2024-08-22,0.5115219544404094,0.464877847474414,0.5580386266094419,,0
19,D20240903,2024-09-03,0.5357411687025422,0.49215219544404093,0.5826510399471772,,0
20,D20240915,2024-09-15,0.5396368438428525,0.49111984153185867,0.5856658963354242,,0
21,D20240927,2024-09-27,0.5374182898646418,0.48929250577748434,0.5868996368438428,,0
22,D20241009,2024-10-09,0.5377088147903599,0.49615549686365135,0.5833337735226147,,0
23,D20241021,2024-10-21,0.5554440409376031,0.5100316936282601,0.5980950808847805,,0
24,D20241102,2024-11-02,0.5816176956091119,0.5308923737206999,0.6288293166061406,,0
25,D20241114,2024-11-14,0.5806140640475405,0.5301198415318586,0.6283086827335754,,0
26,D20241126,2024-11-26,0.5712776493892374,0.5317454605480357,0.6126962693958402,,0
27,D20241208,2024-12-08,0.5685440739517993,0.5166015186530208,0.6117758336084516,,0
28,D20241220,2024-12-20,0.6744932320897986,0.6290488610102344,0.7170448993067019,0.004975124378109453,1
29,D20250101,2025-01-01,0.6950808847804555,0.6530564542753383,0.7410967315945856,0.004975124378109453,1
30,D20250113,2025-01-13,0.6801584681413008,0.6382575107296138,0.7196880158468141,0.004975124378109453,1
31,D20250125,2025-01-25,0.6716672169032684,0.6245354902608122,0.7178659623638164,0.004975124378109453,1
32,D20250206,2025-02-06,0.6461406404754044,0.6093912182238362,0.6973096731594586,0.004975124378109453,1
33,D20250218,2025-02-18,0.6088478045559589,0.5618755364806867,0.6505658633212281,,0
