k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.2034517228603363,0.1743052452802658,0.3065906763076782,0.029146477580070496,-0.0030200980603694904,0.06269822902977465,0
12,D20240530,2024-05-30,0.17423534393310547,0.19303762912750244,0.21350808441638947,-0.018802285194396973,-0.05199090391397476,0.012952569872140855,0
13,D20240611,2024-06-11,0.15516842901706696,0.15110062062740326,0.1791221648454666,0.004067808389663696,-0.02587953358888626,0.036489585787057875,0
14,D20240623,2024-06-23,0.20477475225925446,0.14522743225097656,0.026432394981384277,0.05954732000827789,0.013906642049551013,0.09791527315974236,0
15,D20240705,2024-07-05,0.16433414816856384,0.1588803082704544,0.026260193437337875,0.005453839898109436,-0.0318245641887188,0.04596482068300247,0
16,D20240717,2024-07-17,0.16791699826717377,0.14893026649951935,0.0264754481613636,0.01898673176765442,-0.019006957486271858,0.0649038098752498,0
17,D20240729,2024-07-29,0.20559629797935486,0.17048515379428864,0.05923379212617874,0.03511114418506622,-0.009387801587581632,0.08044046908617002,0
18,D20240822,2024-08-22,0.1690746247768402,0.1620194911956787,0.0405847392976284,0.007055133581161499,-0.026506393030285836,0.046467022970318794,0
19,D20240903,2024-09-03,0.19754771888256073,0.1802119016647339,0.021514981985092163,0.017335817217826843,-0.02010008990764618,0.06173711121082303,0
20,D20240915,2024-09-15,0.18838879466056824,0.17158786952495575,0.034101806581020355,0.016800925135612488,-0.019434211775660515,0.052940622344613074,0
21,D20240927,2024-09-27,0.18882545828819275,0.17527562379837036,0.05667879059910774,0.013549834489822388,-0.02551565393805504,0.051524654403328846,0
22,D20241009,2024-10-09,0.21451765298843384,0.18898890912532806,0.07154165953397751,0.025528743863105774,-0.012376344949007034,0.06745420061051839,0
23,D20241021,2024-10-21,0.22993208467960358,0.19616125524044037,0.07117678225040436,0.03377082943916321,-0.0035605158656835554,0.07402293048799036,0
24,D20241102,2024-11-02,0.278610497713089,0.21008563041687012,0.14603756368160248,0.06852486729621887,0.029516400396823884,0.11677991859614836,0
25,D20241114,2024-11-14,0.25728562474250793,0.20269423723220825,0.22427614033222198,0.05459138751029968,0.013081550970673563,0.09701989889144892,0
26,D20241126,2024-11-26,0.2745498716831207,0.22399269044399261,0.21701864898204803,0.05055718123912811,0.010738212615251541,0.09642973206937312,0
27,D20241208,2024-12-08,0.3358694612979889,0.28555724024772644,0.22367052733898163,0.05031222105026245,-0.0005242198705673217,0.1034644983708858,0
28,D20241220,2024-12-20,0.7264524698257446,0.5332797765731812,0.2648926377296448,0.19317269325256348,0.13910022675991057,0.24385247230529786,1
29,D20250101,2025-01-01,0.7130263447761536,0.5019611716270447,0.43870535492897034,0.2110651731491089,0.16910909712314606,0.2576882876455784,1
30,D20250113,2025-01-13,0.721955418586731,0.5412160754203796,0.26329541206359863,0.18073934316635132,0.13574530631303788,0.22429406493902201,1
31,D20250125,2025-01-25,0.7209256291389465,0.5574858784675598,0.31876230239868164,0.16343975067138672,0.11644804030656815,0.20553621798753738,1
32,D20250206,2025-02-06,0.6860774755477905,0.5411444306373596,0.317261666059494,0.1449330449104309,0.09903601408004761,0.19942470341920843,1
33,D20250218,2025-02-18,0.6041359305381775,0.48646143078804016,0.3500857353210449,0.11767449975013733,0.06830154061317444,0.16464052945375443,0
