k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4386344426457316,0.40439546533339066,0.4728017897989103,,0
12,D20170712,2017-07-12,0.44638005052313895,0.4101833015772961,0.4874033589769302,,0
13,D20170724,2017-07-24,0.4252539289142301,0.3811784593785367,0.45784242797587493,,0
14,D20170805,2017-08-05,0.374157748711851,0.33700939310153816,0.4090687363007321,,0
15,D20170817,2017-08-17,0.42397891208114263,0.38654558782096277,0.46566062108123335,,0
16,D20170829,2017-08-29,0.35346140805791537,0.31323498512480363,0.3870561914721908,,0
17,D20170910,2017-09-10,0.34203400999957023,0.3075679650826851,0.3830952824377175,,0
18,D20170922,2017-09-22,0.31650502127415725,0.27610752164424646,0.35543159558567206,,0
19,D20171004,2017-10-04,0.2854748363250863,0.24896589926889484,0.32053230758945406,,0
20,D20171016,2017-10-16,0.37985473403721903,0.3408666771724233,0.4144731124259224,,0
21,D20171028,2017-10-28,0.5548328868386746,0.5204178187183932,0.5894665463279992,,0
22,D20171109,2017-11-09,0.5622824233915448,0.5252462883639194,0.6005281530402227,,0
23,D20171121,2017-11-21,0.506114827920481,0.46555711550124396,0.5397393378508087,,0
24,D20171203,2017-12-03,0.5665420301897245,0.5253343934596889,0.6014943245037223,,0
25,D20171215,2017-12-15,0.6451489668543376,0.6130658185655822,0.6772386812410165,,0
26,D20171227,2017-12-27,0.8239426194671671,0.7949036335592071,0.8539267653252726,0.004975124378109453,1
27,D20180108,2018-01-08,0.8620498641414649,0.8354107273326362,0.8843877292762011,0.004975124378109453,1
28,D20180120,2018-01-20,0.8820251278598341,0.8569875220262739,0.90464175369731,0.004975124378109453,1
29,D20180201,2018-02-01,0.9160685548376624,0.895691087775597,0.9355175756533864,0.004975124378109453,1
30,D20180213,2018-02-13,0.8978888204422922,0.8751785978635112,0.9202619037386167,0.004975124378109453,1
31,D20180225,2018-02-25,0.8471460156917804,0.818174242749834,0.8726452779011408,,0
