k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.6252228458237041,0.5704945526576428,0.6676091119181247,,0
12,D20240530,2024-05-30,0.6041994057444702,0.5542878837900298,0.6553951799273687,,0
13,D20240611,2024-06-11,0.607434796962694,0.5612466160448993,0.6507972928359194,,0
14,D20240623,2024-06-23,0.6493496203367447,0.6047923407065038,0.6946952789699571,,0
15,D20240705,2024-07-05,0.6075404423902278,0.5618831297457907,0.6533918785077583,,0
16,D20240717,2024-07-17,0.6090062726972598,0.5595741168702542,0.6595021459227467,,0
17,D20240729,2024-07-29,0.5947045229448663,0.5534080554638495,0.6408085176625948,,0
18,D20240822,2024-08-22,0.5842588312974579,0.5382779795311984,0.6321673819742489,,0
19,D20240903,2024-09-03,0.5781578078573787,0.5307266424562562,0.6308114889402443,,0
20,D20240915,2024-09-15,0.5799273687685704,0.5303879168042258,0.6295074281941234,,0
21,D20240927,2024-09-27,0.5990623968306371,0.5549207659293497,0.6481010234400791,,0
22,D20241009,2024-10-09,0.5933707494222515,0.5493908880818752,0.6428137999339716,,0
23,D20241021,2024-10-21,0.5842720369758996,0.5403690987124463,0.6285790689996699,,0
24,D20241102,2024-11-02,0.5844833278309673,0.538183228788379,0.6332611422911852,,0
25,D20241114,2024-11-14,0.6026939584021129,0.554450313634863,0.649421261142291,,0
26,D20241126,2024-11-26,0.5985473753714097,0.565,0.6392611422911852,,0
27,D20241208,2024-12-08,0.5697722020468802,0.523068009243975,0.6128537471112577,,0
28,D20241220,2024-12-20,0.611739848134698,0.570580059425553,0.6550716408055464,0.004975124378109453,1
29,D20250101,2025-01-01,0.6189369428854408,0.5743948497854078,0.6637051832287884,0.004975124378109453,1
30,D20250113,2025-01-13,0.6241531858699241,0.5823872565203038,0.6710402773192472,0.004975124378109453,1
31,D20250125,2025-01-25,0.6179333113238692,0.5696530207989435,0.6618520964014526,0.004975124378109453,1
32,D20250206,2025-02-06,0.6295807197094752,0.5872687355562892,0.67511389897656,0.004975124378109453,1
33,D20250218,2025-02-18,0.6318256850445692,0.5905394519643447,0.6743575437438099,,0
