k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.5315865125185643,0.4871078845703862,0.5645926154081247,,0
12,D20170712,2017-07-12,0.4990759709468074,0.4610625617810123,0.5418610231651934,,0
13,D20170724,2017-07-24,0.46863315330286665,0.4291359253900262,0.508545477988052,,0
14,D20170805,2017-08-05,0.42308114741964287,0.3878306328763329,0.4601384133442211,,0
15,D20170817,2017-08-17,0.4548658367118892,0.4116211576388789,0.4974598751725092,,0
16,D20170829,2017-08-29,0.4062098572649695,0.3690857365251732,0.4467883424303635,,0
17,D20170910,2017-09-10,0.30009693948206617,0.26706707925638346,0.33836666523406334,,0
18,D20170922,2017-09-22,0.3560591951635317,0.3169207149644953,0.39535466479473186,,0
19,D20171004,2017-10-04,0.36925824582515554,0.3372624863305779,0.4040171387094155,,0
20,D20171016,2017-10-16,0.4388779851868831,0.402111657092102,0.47248040915146916,,0
21,D20171028,2017-10-28,0.6230438997368786,0.5898535879546725,0.6575916030352087,,0
22,D20171109,2017-11-09,0.35201447884283865,0.31072637756734434,0.3894912587329103,,0
23,D20171121,2017-11-21,0.4951840656323272,0.45986968086376423,0.531272653037835,,0
24,D20171203,2017-12-03,0.4719520173440491,0.4395310134712453,0.5065259850340721,,0
25,D20171215,2017-12-15,0.6431671991175165,0.6103702562927095,0.6757105711788891,,0
26,D20171227,2017-12-27,0.9330449025591068,0.9109989303229565,0.9510916436256321,0.004975124378109453,1
27,D20180108,2018-01-08,0.9471130658185656,0.9301913957852814,0.9608233170494105,0.004975124378109453,1
28,D20180120,2018-01-20,0.9556227287270366,0.9418956444087886,0.9678634872426687,0.004975124378109453,1
29,D20180201,2018-02-01,0.9655172413793104,0.953129879804593,0.9748793031818116,0.004975124378109453,1
30,D20180213,2018-02-13,0.9671313076324323,0.9554048536595848,0.9770015854141895,0.004975124378109453,1
31,D20180225,2018-02-25,0.7031646204317866,0.6697390035767327,0.7412147997459516,,0
