k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.45111719171573333,0.41640939501167573,0.4828790787406463,,0
12,D20170712,2017-07-12,0.4128905634428319,0.37446826545181916,0.45278486120462824,,0
13,D20170724,2017-07-24,0.4359984527885621,0.3979152042175838,0.48112819888352454,,0
14,D20170805,2017-08-05,0.4066300875320545,0.3736112105974433,0.44344237831229794,,0
15,D20170817,2017-08-17,0.37676508650535556,0.33318243246469825,0.4182206829696909,,0
16,D20170829,2017-08-29,0.3118156335210044,0.27096173039363164,0.35012618846372406,,0
17,D20170910,2017-09-10,0.3908666771724233,0.35116375131918875,0.4302566986137176,,0
18,D20170922,2017-09-22,0.3844724916312098,0.3415826206132497,0.4218246350443391,,0
19,D20171004,2017-10-04,0.418296252787607,0.3855441981958751,0.45992256779794566,,0
20,D20171016,2017-10-16,0.40782869886203554,0.3698164835322264,0.43956647040003055,,0
21,D20171028,2017-10-28,0.5274128619113791,0.48813768749194164,0.5624452626200402,,0
22,D20171109,2017-11-09,0.4634137023719133,0.4245700996614281,0.5007165403588194,,0
23,D20171121,2017-11-21,0.49664054553529213,0.45763350667831854,0.5272144463704999,,0
24,D20171203,2017-12-03,0.5776781322674764,0.5392594157844219,0.6089612910619888,,0
25,D20171215,2017-12-15,0.5889765960393296,0.5504463752751791,0.6248824071553754,,0
26,D20171227,2017-12-27,0.9109255094098152,0.8908104474974811,0.9297043107029784,0.004975124378109453,1
27,D20180108,2018-01-08,0.9351938073339733,0.9174400336184214,0.9506278383450568,0.004975124378109453,1
28,D20180120,2018-01-20,0.9337468781188967,0.9148725699468504,0.949336346575362,0.004975124378109453,1
29,D20180201,2018-02-01,0.9517690261641095,0.9378940255671915,0.9637809263212183,0.004975124378109453,1
30,D20180213,2018-02-13,0.9418649628239474,0.9241473623387724,0.9551786217402309,0.004975124378109453,1
31,D20180225,2018-02-25,0.8184700753071739,0.7877317832566891,0.8427641600886304,,0
