k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.6431096733739129,0.6134138183625496,0.6689303803534078,0
12,D20170712,2017-07-12,0.5333264946101711,0.5025083184398464,0.56149119803353,0
13,D20170724,2017-07-24,0.49717998989602735,0.4619059762253234,0.5314154447265016,0
14,D20170805,2017-08-05,0.537300659647825,0.5065152924926712,0.5692877517986564,0
15,D20170817,2017-08-17,0.5497890350224498,0.5152076467520159,0.5861590865199615,0
16,D20170829,2017-08-29,0.4630027484924709,0.43099859565375065,0.496823834491341,0
17,D20170910,2017-09-10,0.3174809804032053,0.2825353819643606,0.35545838468395696,0
18,D20170922,2017-09-22,0.4442391222161701,0.40669334009500047,0.47778091620589563,0
19,D20171004,2017-10-04,0.4259363873529855,0.39482958816920155,0.45723510422551217,0
20,D20171016,2017-10-16,0.5646550706965047,0.5417021846830902,0.5858370765710642,0
21,D20171028,2017-10-28,0.7338787937455542,0.7186723148740783,0.7486959229169948,0
22,D20171109,2017-11-09,0.7336750768513556,0.714588116225545,0.7506566498636349,0
23,D20171121,2017-11-21,0.6513113251663567,0.6295506284642106,0.6743544028614759,0
24,D20171203,2017-12-03,0.6366925912066541,0.6145807898821573,0.6574105873066556,0
25,D20171215,2017-12-15,0.8936000628006691,0.8792227550326019,0.9051997774043771,0
26,D20171227,2017-12-27,0.9716973181128399,0.9589893330366676,0.9806731904232832,1
27,D20180108,2018-01-08,0.9801070212014866,0.9718896572017774,0.9871743961094408,1
28,D20180120,2018-01-20,0.9855245421065483,0.9782947234434801,0.9914808532607465,1
29,D20180201,2018-02-01,0.9926777502141918,0.988083633249872,0.9960559951762922,1
30,D20180213,2018-02-13,0.9931427352292006,0.9893161084197685,0.9955474012611183,1
31,D20180225,2018-02-25,0.9288777607130766,0.9135813189200018,0.9398959189678728,0
