k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.5306505451055112,0.48310065469965474,0.5595391076792307,,0
12,D20170712,2017-07-12,0.4840909416500724,0.4415167208668204,0.5197296916560415,,0
13,D20170724,2017-07-24,0.4890883390876228,0.44724152257066313,0.5297194724200011,,0
14,D20170805,2017-08-05,0.4882025127859834,0.4539526715661696,0.5242077704396658,,0
15,D20170817,2017-08-17,0.5490356192904793,0.5034402771609625,0.5943305922859093,,0
16,D20170829,2017-08-29,0.459292580548114,0.4206346193334575,0.49937526562850687,,0
17,D20170910,2017-09-10,0.3185106657306993,0.28215633043469956,0.3630852780921545,,0
18,D20170922,2017-09-22,0.3639767154229283,0.3222784121026317,0.4043048531820504,,0
19,D20171004,2017-10-04,0.37139759991213367,0.3383285818661089,0.4033673337822157,,0
20,D20171016,2017-10-16,0.4662263799550162,0.42925877111298943,0.5068381731444207,,0
21,D20171028,2017-10-28,0.6152314370442531,0.5809174868319891,0.6465849127783428,,0
22,D20171109,2017-11-09,0.4225558595857867,0.38499491425869947,0.46373723192412936,,0
23,D20171121,2017-11-21,0.45985607113352334,0.4247759169854209,0.495832676723541,,0
24,D20171203,2017-12-03,0.4425167972723235,0.4104792535182346,0.4749522465605585,,0
25,D20171215,2017-12-15,0.5834945011914482,0.5551662058459761,0.6149716583336914,,0
26,D20171227,2017-12-27,0.8895462945718666,0.8644171215181774,0.9108877841926565,0.004975124378109453,1
27,D20180108,2018-01-08,0.9127186510608426,0.894105852661538,0.9312355247386693,0.004975124378109453,1
28,D20180120,2018-01-20,0.9298406467725837,0.9125456642264659,0.9446117406606211,0.004975124378109453,1
29,D20180201,2018-02-01,0.9439565634714842,0.9259407427569971,0.9567992540912759,0.004975124378109453,1
30,D20180213,2018-02-13,0.9489802253007272,0.9355111289390619,0.9627718961458198,0.004975124378109453,1
31,D20180225,2018-02-25,0.8295297718818198,0.8006067074481039,0.857151674474354,,0
