k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.3792033465436274,0.3469064289295328,0.4102493798193132,0
12,D20170712,2017-07-12,0.33259889299372813,0.2973415186107182,0.36575404628467095,0
13,D20170724,2017-07-24,0.3859715152732287,0.35523204461929747,0.4213756934441206,0
14,D20170805,2017-08-05,0.39950062872909076,0.36681465037509436,0.43102969498813093,0
15,D20170817,2017-08-17,0.3830159347065682,0.3483581766808209,0.42304412517560336,0
16,D20170829,2017-08-29,0.42458309072722117,0.3909622541009463,0.455909487572547,0
17,D20170910,2017-09-10,0.37913929371400945,0.35124451517546385,0.4107103193924516,0
18,D20170922,2017-09-22,0.3182539487606259,0.2839010677558537,0.3503082121025173,0
19,D20171004,2017-10-04,0.3616470920256153,0.3348752246063038,0.3854268495013751,0
20,D20171016,2017-10-16,0.4749685876254749,0.447678012686313,0.5016338167154768,0
21,D20171028,2017-10-28,0.6618333268317302,0.6431748579640544,0.6808091461661492,0
22,D20171109,2017-11-09,0.7081969802702838,0.6897044347193306,0.7299371487629376,0
23,D20171121,2017-11-21,0.728921682653386,0.7071032782045559,0.7481967081661579,0
24,D20171203,2017-12-03,0.7832664149823901,0.7654825561991341,0.798564831336378,0
25,D20171215,2017-12-15,0.8698475398175024,0.857902830894269,0.8832201693210062,0
26,D20171227,2017-12-27,0.9718148285671767,0.9629724076784413,0.979087244769942,1
27,D20180108,2018-01-08,0.9776802376793419,0.9687308172611299,0.9845451117336597,1
28,D20180120,2018-01-20,0.9840734806355774,0.9785556544441346,0.9891101641245399,1
29,D20180201,2018-02-01,0.9887970156197401,0.9833665155886768,0.9930064544061845,1
30,D20180213,2018-02-13,0.979373062462104,0.9712920756054558,0.9859491088228679,1
31,D20180225,2018-02-25,0.9319855269501077,0.9176492274410027,0.9461699177089701,0
