k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.04001714661717415,0.08697900176048279,0.08643139898777008,-0.04696185514330864,-0.06749631837010384,-0.027718113642185932,0
12,D20170712,2017-07-12,0.045599278062582016,0.0799967497587204,0.08505500853061676,-0.03439747169613838,-0.05311709530651569,-0.0143547022715211,0
13,D20170724,2017-07-24,0.05019666627049446,0.08243699371814728,0.07791684567928314,-0.03224032744765282,-0.05437361188232899,-0.00920424927026035,0
14,D20170805,2017-08-05,0.052842408418655396,0.09624382108449936,0.08743621408939362,-0.043401412665843964,-0.06408558525145054,-0.018873274326324484,0
15,D20170817,2017-08-17,0.0698278620839119,0.10645777732133865,0.11686541885137558,-0.03662991523742676,-0.061885206028819084,-0.012060913443565377,0
16,D20170829,2017-08-29,0.06896668672561646,0.10699208825826645,0.11939635127782822,-0.038025401532649994,-0.06069223675876856,-0.012607289850711823,0
17,D20170910,2017-09-10,0.05729534104466438,0.0920536145567894,0.12222649157047272,-0.034758273512125015,-0.05765214553102851,-0.014875069074332718,0
18,D20170922,2017-09-22,0.059833452105522156,0.11007848381996155,0.13095930218696594,-0.05024503171443939,-0.07186901681125164,-0.021912451088428524,0
19,D20171004,2017-10-04,0.060018390417099,0.13408438861370087,0.14792728424072266,-0.07406599819660187,-0.0975861830636859,-0.045858020707964915,0
20,D20171016,2017-10-16,0.08505034446716309,0.16293126344680786,0.13808713853359222,-0.07788091897964478,-0.10339897945523262,-0.04918847735971214,0
21,D20171028,2017-10-28,0.17125631868839264,0.2163517028093338,0.14430028200149536,-0.04509538412094116,-0.07623761557042599,-0.008908308297395723,0
22,D20171109,2017-11-09,0.1856364756822586,0.2509489953517914,0.126020148396492,-0.06531251966953278,-0.104785630479455,-0.02743216380476952,0
23,D20171121,2017-11-21,0.24788440763950348,0.332720547914505,0.14344121515750885,-0.08483614027500153,-0.12610399276018142,-0.04900047108531,0
24,D20171203,2017-12-03,0.2952379584312439,0.35127606987953186,0.14506208896636963,-0.056038111448287964,-0.09278554245829582,-0.016918103396892585,0
25,D20171215,2017-12-15,0.5150394439697266,0.4285072088241577,0.14505119621753693,0.08653223514556885,0.046723606437444686,0.12615064457058905,0
26,D20171227,2017-12-27,0.9390149712562561,0.5206321477890015,0.2021990269422531,0.41838282346725464,0.38693872690200803,0.45107325688004485,1
27,D20180108,2018-01-08,0.9536759257316589,0.5096341371536255,0.2209584265947342,0.44404178857803345,0.4124529600143433,0.47321450635790824,1
28,D20180120,2018-01-20,0.969179093837738,0.5286546945571899,0.22895556688308716,0.4405243992805481,0.4154146730899811,0.47021804600954054,1
29,D20180201,2018-02-01,0.9728182554244995,0.5558980703353882,0.1994151920080185,0.41692018508911133,0.3913421154022217,0.44097009748220445,1
30,D20180213,2018-02-13,0.9571172595024109,0.5083101987838745,0.21711742877960205,0.4488070607185364,0.4226781040430069,0.4723002716898918,1
31,D20180225,2018-02-25,0.8745004534721375,0.42131507396698,0.251298725605011,0.45318537950515747,0.41892060488462446,0.487104145437479,0
