k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.6197424892703862,0.32916309012875533,0.8686695278969958,0
12,D20240530,2024-05-30,0.3579399141630901,0.1098283261802575,0.6927682403433472,0
13,D20240611,2024-06-11,0.5442060085836911,0.32356223175965665,0.7683261802575106,0
14,D20240623,2024-06-23,0.848068669527897,0.7583476394849786,0.9390557939914164,0
15,D20240705,2024-07-05,0.6163090128755365,0.40289699570815457,0.8238412017167379,0
16,D20240717,2024-07-17,0.7484978540772532,0.5570815450643777,0.922381974248927,0
17,D20240729,2024-07-29,0.7484978540772533,0.585321888412017,0.9254935622317596,0
18,D20240822,2024-08-22,0.8163090128755365,0.6835836909871245,0.9313304721030042,0
19,D20240903,2024-09-03,0.6815450643776824,0.4977682403433476,0.8674463519313304,0
20,D20240915,2024-09-15,0.5502145922746782,0.3651287553648069,0.7133047210300429,0
21,D20240927,2024-09-27,0.567381974248927,0.32830472103004293,0.8193776824034334,0
22,D20241009,2024-10-09,0.5793991416309012,0.29858369098712445,0.8448068669527896,0
23,D20241021,2024-10-21,0.5939914163090128,0.3011587982832618,0.8227682403433477,0
24,D20241102,2024-11-02,0.5510729613733906,0.2801931330472103,0.8209012875536478,0
25,D20241114,2024-11-14,0.5261802575107295,0.23489270386266095,0.7781330472103004,0
26,D20241126,2024-11-26,0.607725321888412,0.2719742489270386,0.9336266094420599,0
27,D20241208,2024-12-08,0.5690987124463519,0.21804721030042917,0.8410085836909869,0
28,D20241220,2024-12-20,0.7914163090128755,0.6759442060085836,0.9087768240343346,1
29,D20250101,2025-01-01,0.7888412017167382,0.5527467811158798,0.9429399141630901,1
30,D20250113,2025-01-13,0.8763948497854078,0.7386051502145924,0.9708583690987124,1
31,D20250125,2025-01-25,0.9107296137339056,0.8308583690987125,0.9755579399141631,1
32,D20250206,2025-02-06,0.9510729613733906,0.907167381974249,0.985,1
33,D20250218,2025-02-18,0.8712446351931331,0.7544635193133047,0.9566738197424893,0
