k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.3795443366808494,0.341703317431438,0.4148607509705886,,0
12,D20170712,2017-07-12,0.4254401673280518,0.38411899679574424,0.4669597534012387,,0
13,D20170724,2017-07-24,0.36694697935618814,0.3291903643109895,0.40762980578676183,,0
14,D20170805,2017-08-05,0.3928484449092446,0.35583117249019863,0.42730076071229034,,0
15,D20170817,2017-08-17,0.3822853841047901,0.3405463709773696,0.42494138265308556,,0
16,D20170829,2017-08-29,0.39522179084948594,0.35254227373226554,0.4322280799774604,,0
17,D20170910,2017-09-10,0.3682984016923819,0.32989735398192055,0.41110912138446776,,0
18,D20170922,2017-09-22,0.42880678480867584,0.38797353504386156,0.4654078860029893,,0
19,D20171004,2017-10-04,0.38502165618478673,0.3528037238132076,0.42573217961023635,,0
20,D20171016,2017-10-16,0.4054983310172915,0.3638020572181711,0.43960706082355583,,0
21,D20171028,2017-10-28,0.5232057838965851,0.48520550692663633,0.5553209269897664,,0
22,D20171109,2017-11-09,0.41639089055389206,0.37721229746572493,0.45366877736869,,0
23,D20171121,2017-11-21,0.4804903323161851,0.43477453213567707,0.515067284596173,,0
24,D20171203,2017-12-03,0.5830169667970335,0.5463868553882593,0.615362162084724,,0
25,D20171215,2017-12-15,0.6662177843359168,0.6296122659484549,0.696301376731659,,0
26,D20171227,2017-12-27,0.8772688852914631,0.8495703384286252,0.9010167901093076,0.004975124378109453,1
27,D20180108,2018-01-08,0.9303277318548868,0.9108581770602028,0.945479898189667,0.004975124378109453,1
28,D20180120,2018-01-20,0.9398258909597964,0.9201872889894894,0.9534397996265681,0.004975124378109453,1
29,D20180201,2018-02-01,0.9516973960049473,0.9385891962618607,0.9636709740269043,0.004975124378109453,1
30,D20180213,2018-02-13,0.9344202016150212,0.9126040428061831,0.9496163011140878,0.004975124378109453,1
31,D20180225,2018-02-25,0.8322899206815371,0.8062525965932696,0.8595825633091223,,0
