k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.017353981733322144,0.02938982844352722,0.04096515476703644,-0.012035846710205078,-0.022793331602588295,-0.0008484272751957396,0
12,D20170712,2017-07-12,0.01902364380657673,0.03006356954574585,0.02727539651095867,-0.01103992573916912,-0.022199910879135133,-0.00022693620994687942,0
13,D20170724,2017-07-24,0.014903060160577297,0.02571282349526882,0.018572436645627022,-0.010809763334691525,-0.02063895990140736,-0.0014870997518301088,0
14,D20170805,2017-08-05,0.016194941475987434,0.021973107010126114,0.01708170585334301,-0.0057781655341386795,-0.01429912680760026,0.005526170739904041,0
15,D20170817,2017-08-17,0.01722693257033825,0.01700575463473797,0.01102727185934782,0.00022117793560028076,-0.008686686470173299,0.011652983422391116,0
16,D20170829,2017-08-29,0.005737746134400368,0.010132412426173687,0.011657428927719593,-0.004394666291773319,-0.008900813711807131,0.0006443235091865042,0
17,D20170910,2017-09-10,0.004244194831699133,0.007993157021701336,0.010688378475606441,-0.003748962190002203,-0.007050418120343238,5.99599559791386e-05,0
18,D20170922,2017-09-22,0.0014962159330025315,0.007893196307122707,0.01046273484826088,-0.006396980374120176,-0.00958697556052357,-0.0035243318299762916,0
19,D20171004,2017-10-04,0.006570983212441206,0.017458872869610786,0.02255168743431568,-0.01088788965716958,-0.01821233406662941,-0.002530461014248433,0
20,D20171016,2017-10-16,0.02251734398305416,0.024945689365267754,0.033668581396341324,-0.0024283453822135925,-0.015498613240197301,0.01152655668556689,0
21,D20171028,2017-10-28,0.02174004539847374,0.01908310502767563,0.02860141173005104,0.002656940370798111,-0.011299976310692728,0.019082238664850586,0
22,D20171109,2017-11-09,0.026445411145687103,0.07184413820505142,0.032867055386304855,-0.04539872705936432,-0.06061456073075533,-0.02888980871066453,0
23,D20171121,2017-11-21,0.008800599724054337,0.028188997879624367,0.015463137067854404,-0.01938839815557003,-0.027139222249388695,-0.012562994170002645,0
24,D20171203,2017-12-03,0.018528012558817863,0.02694832533597946,0.021010931581258774,-0.008420312777161598,-0.014437515800818802,-0.0016315853688865934,0
25,D20171215,2017-12-15,0.1974201500415802,0.06851053237915039,0.039672624319791794,0.1289096176624298,0.10754677318036557,0.14903928413987158,0
26,D20171227,2017-12-27,0.8765371441841125,0.32158559560775757,0.21003541350364685,0.554951548576355,0.5276064336299896,0.5861954241991043,1
27,D20180108,2018-01-08,0.9380742907524109,0.28032025694847107,0.21356965601444244,0.6577540338039398,0.6295743674039841,0.6880506321787834,1
28,D20180120,2018-01-20,0.9186742305755615,0.21759597957134247,0.13241402804851532,0.701078251004219,0.6730129346251488,0.727356843650341,1
29,D20180201,2018-02-01,0.9254351854324341,0.22733385860919952,0.09901443868875504,0.6981013268232346,0.6695713803172112,0.7250507116317749,1
30,D20180213,2018-02-13,0.9178429841995239,0.1737326681613922,0.08398334681987762,0.7441103160381317,0.7168044924736023,0.7732574835419654,1
31,D20180225,2018-02-25,0.08247289806604385,0.10311492532491684,0.04961840808391571,-0.020642027258872986,-0.04548142924904823,-0.0002549612894654395,0
