k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.5147295483957232,0.4770148369936345,0.5536146965985225,,0
12,D20170712,2017-07-12,0.5367964127616291,0.5018192866591216,0.57519578910171,,0
13,D20170724,2017-07-24,0.5714892865158613,0.5311499266984705,0.6089005248102994,,0
14,D20170805,2017-08-05,0.5440835876203984,0.5069041922744486,0.5771081949677426,,0
15,D20170817,2017-08-17,0.5998023007607123,0.5626390222005739,0.641889197694464,,0
16,D20170829,2017-08-29,0.36123566799898765,0.3223609061692669,0.4012954314284486,,0
17,D20170910,2017-09-10,0.46067265494797266,0.41965662889369604,0.5024727924778782,,0
18,D20170922,2017-09-22,0.4516663562693103,0.4106548667917807,0.4898169371899011,,0
19,D20171004,2017-10-04,0.459583876528707,0.4206508555028676,0.4983268388655693,,0
20,D20171016,2017-10-16,0.56788390183803,0.5342794483522676,0.6043580982670277,,0
21,D20171028,2017-10-28,0.5650855502867594,0.5325603245323745,0.6014367816091953,,0
22,D20171109,2017-11-09,0.44580700924984124,0.40957217693604386,0.48224789765482856,,0
23,D20171121,2017-11-21,0.5500193401429738,0.5106681183712257,0.5890908461431934,,0
24,D20171203,2017-12-03,0.6676121847676078,0.632727939104814,0.6975007043632317,,0
25,D20171215,2017-12-15,0.7706641070823126,0.7406461756658024,0.7994791293592921,,0
26,D20171227,2017-12-27,0.8843889231121871,0.8602482462549365,0.9050785782846009,0.004975124378109453,1
27,D20180108,2018-01-08,0.9204523205783897,0.89980421089829,0.9381441342062661,0.004975124378109453,1
28,D20180120,2018-01-20,0.9317173569426338,0.9140335420158637,0.9461388956539595,0.004975124378109453,1
29,D20180201,2018-02-01,0.9451981528969623,0.930945541977661,0.9574833221112751,0.004975124378109453,1
30,D20180213,2018-02-13,0.9482304963014961,0.9333527928599057,0.9615519151516888,0.004975124378109453,1
31,D20180225,2018-02-25,0.7521739753305732,0.7249073583274835,0.7829302943044473,,0
