k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5170815450643776,0.4707566853747111,0.5659098712446352,,0
12,D20240530,2024-05-30,0.49051172003961707,0.445809177946517,0.5378461538461539,,0
13,D20240611,2024-06-11,0.47694948827996037,0.4324344668207329,0.5354186200066028,,0
14,D20240623,2024-06-23,0.5868735556289204,0.5421710135358204,0.6331129085506768,,0
15,D20240705,2024-07-05,0.5274083856058105,0.47764872895345,0.5672647738527566,,0
16,D20240717,2024-07-17,0.5309871244635194,0.4874526246285903,0.583083525916144,,0
17,D20240729,2024-07-29,0.5641729943875866,0.5151865302079894,0.6126219874546055,,0
18,D20240822,2024-08-22,0.5402178936942885,0.4961858699240674,0.5801545064377682,,0
19,D20240903,2024-09-03,0.5205150214592275,0.4704470122152526,0.5648213931990756,,0
20,D20240915,2024-09-15,0.5003895675140311,0.45108715747771544,0.5462377022119511,,0
21,D20240927,2024-09-27,0.4944073951799274,0.44538329481677125,0.5395480356553318,,0
22,D20241009,2024-10-09,0.5075734565863321,0.46260944206008586,0.5574872895344998,,0
23,D20241021,2024-10-21,0.5328491251238032,0.4838349290194784,0.5773142951469131,,0
24,D20241102,2024-11-02,0.5395444040937604,0.4934153185869924,0.5804341366787718,,0
25,D20241114,2024-11-14,0.5423836249587323,0.49327566853747107,0.5889973588643116,,0
26,D20241126,2024-11-26,0.5507164080554638,0.5118487949818422,0.59435127104655,,0
27,D20241208,2024-12-08,0.5482601518653021,0.4998233740508419,0.5892660944206008,,0
28,D20241220,2024-12-20,0.6499702872235061,0.599114229118521,0.6960686695278969,0.004975124378109453,1
29,D20250101,2025-01-01,0.6786398151205018,0.6366275998679433,0.7215595906239682,0.004975124378109453,1
30,D20250113,2025-01-13,0.6723803235391217,0.6251597887091449,0.7139115219544404,0.004975124378109453,1
31,D20250125,2025-01-25,0.663030703202377,0.6146239683063717,0.7025407725321888,0.004975124378109453,1
32,D20250206,2025-02-06,0.6356949488279959,0.5931680422581711,0.6838217233410366,0.004975124378109453,1
33,D20250218,2025-02-18,0.6461142291185209,0.6017269725982173,0.6867124463519312,,0
