k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.14812365174293518,0.1507503092288971,0.3946470618247986,-0.002626657485961914,-0.02603865936398506,0.023273405805230095,0
12,D20240530,2024-05-30,0.13465917110443115,0.14569908380508423,0.20889706909656525,-0.011039912700653076,-0.03531263284385204,0.011792075261473633,0
13,D20240611,2024-06-11,0.06618153303861618,0.08083467930555344,0.07147844135761261,-0.014653146266937256,-0.03308818954974413,0.004855857603251922,0
14,D20240623,2024-06-23,0.12875322997570038,0.09871593862771988,0.0704367384314537,0.0300372913479805,0.001184648647904396,0.054663164913654326,0
15,D20240705,2024-07-05,0.11710263788700104,0.11898571252822876,0.047569163143634796,-0.0018830746412277222,-0.029302444495260715,0.02486385386437177,0
16,D20240717,2024-07-17,0.11441528797149658,0.10803579539060593,0.04491521418094635,0.0063794925808906555,-0.020930836349725722,0.03660647347569463,0
17,D20240729,2024-07-29,0.162422776222229,0.1339396983385086,0.07178957015275955,0.028483077883720398,-0.004415360465645789,0.06519790235906837,0
18,D20240822,2024-08-22,0.12701177597045898,0.11670780926942825,0.032637886703014374,0.010303966701030731,-0.01975740175694227,0.0385757353156805,0
19,D20240903,2024-09-03,0.12316036969423294,0.13207277655601501,0.01947912946343422,-0.008912406861782074,-0.036928121373057364,0.02330724988132714,0
20,D20240915,2024-09-15,0.13656137883663177,0.1501418948173523,0.04526090994477272,-0.01358051598072052,-0.04223539251834154,0.022038088738918306,0
21,D20240927,2024-09-27,0.11099760979413986,0.13206684589385986,0.0390082485973835,-0.02106923609972,-0.05304561518132687,0.00697942562401294,0
22,D20241009,2024-10-09,0.12568630278110504,0.14040061831474304,0.11800327152013779,-0.014714315533638,-0.0427491694688797,0.017441112175583827,0
23,D20241021,2024-10-21,0.17244134843349457,0.17783428728580475,0.1926024854183197,-0.005392938852310181,-0.038084900751709935,0.03242308013141154,0
24,D20241102,2024-11-02,0.20038317143917084,0.1805948168039322,0.22433152794837952,0.019788354635238647,-0.01628047302365303,0.06002506017684935,0
25,D20241114,2024-11-14,0.19868481159210205,0.1703130155801773,0.1771106868982315,0.028371796011924744,-0.012989998236298561,0.06593088544905178,0
26,D20241126,2024-11-26,0.2439373880624771,0.20018425583839417,0.17109712958335876,0.04375313222408295,0.008092712983489037,0.08390584029257298,0
27,D20241208,2024-12-08,0.3023276627063751,0.2649773955345154,0.17365112900733948,0.03735026717185974,-0.00393654704093933,0.08308806121349335,0
28,D20241220,2024-12-20,0.6786500215530396,0.5291681289672852,0.29702574014663696,0.1494818925857544,0.10094783902168274,0.19010442197322844,1
29,D20250101,2025-01-01,0.6652623414993286,0.49641236662864685,0.34621402621269226,0.16884997487068176,0.13002063781023027,0.20847977399826048,1
30,D20250113,2025-01-13,0.6671252846717834,0.5081039667129517,0.2309526950120926,0.1590213179588318,0.11881593316793441,0.20343286097049712,1
31,D20250125,2025-01-25,0.6388090252876282,0.48857608437538147,0.21480071544647217,0.1502329409122467,0.10252006128430366,0.19085609838366507,1
32,D20250206,2025-02-06,0.6061798334121704,0.4821073114871979,0.1284325271844864,0.12407252192497253,0.08052304536104202,0.16677076742053026,1
33,D20250218,2025-02-18,0.5390669703483582,0.3904872238636017,0.1802072674036026,0.14857974648475647,0.10298182740807534,0.19003930687904358,0
