k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.5618237429872986,0.5288566064232948,0.5950956843322444,0
12,D20170712,2017-07-12,0.6231232641321973,0.5942844167171143,0.6471598951267354,0
13,D20170724,2017-07-24,0.6581796667422779,0.629893311102667,0.6855732800490847,0
14,D20170805,2017-08-05,0.5857171340356029,0.5518635279816952,0.6203993573526628,0
15,D20170817,2017-08-17,0.6634876235966771,0.6292569366084074,0.6943918135667746,0
16,D20170829,2017-08-29,0.4162812660884574,0.3875918592224757,0.44871943704786765,0
17,D20170910,2017-09-10,0.48490279621905297,0.45320146156035584,0.5204790381095071,0
18,D20170922,2017-09-22,0.4450896282094441,0.41239425865110513,0.48036266663969696,0
19,D20171004,2017-10-04,0.43290947697734217,0.3974949444016622,0.46513889832022653,0
20,D20171016,2017-10-16,0.5742100191147128,0.5436424917802882,0.6011847726678389,0
21,D20171028,2017-10-28,0.6324971308666733,0.6087364567997376,0.6573752980503378,0
22,D20171109,2017-11-09,0.7401964254668272,0.7196731644168712,0.7580583636861874,0
23,D20171121,2017-11-21,0.7198165488431721,0.7018397128506831,0.7371151713220552,0
24,D20171203,2017-12-03,0.7612823280169484,0.7437904514087047,0.7772001906173681,0
25,D20171215,2017-12-15,0.8982200537369527,0.8849025794989528,0.9099947216615594,0
26,D20171227,2017-12-27,0.9397961193617257,0.9256123667231584,0.9503837510974464,1
27,D20180108,2018-01-08,0.9650907262579518,0.9558193500708675,0.9740054654401272,1
28,D20180120,2018-01-20,0.9724370560548948,0.9632753823785368,0.980148330460588,1
29,D20180201,2018-02-01,0.9834377683416241,0.975715802410987,0.9892686467178222,1
30,D20180213,2018-02-13,0.9854128108548836,0.9797385127510884,0.9901065709052784,1
31,D20180225,2018-02-25,0.9365852906770383,0.9234249987117195,0.9496243397862946,0
