k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.5557593035638391,0.5169751538854586,0.5910804931975224,,0
12,D20170712,2017-07-12,0.5288024869991261,0.493361316848846,0.5673703135968369,,0
13,D20170724,2017-07-24,0.5470634022415464,0.5044725871380886,0.5849734252109507,,0
14,D20170805,2017-08-05,0.5093763878343338,0.4707079208630001,0.55075068406802,,0
15,D20170817,2017-08-17,0.613025228142057,0.5736686341083717,0.6565085550286759,,0
16,D20170829,2017-08-29,0.3430177308520646,0.3026461374630508,0.3803051683547507,,0
17,D20170910,2017-09-10,0.40929950479683297,0.3723549369893367,0.44938935289314214,,0
18,D20170922,2017-09-22,0.36849896613803607,0.3287727604830738,0.41080397690643666,,0
19,D20171004,2017-10-04,0.4136259664102307,0.37640598064075564,0.45072489721072156,,0
20,D20171016,2017-10-16,0.5415956334254975,0.5047414390021441,0.5740217707930414,,0
21,D20171028,2017-10-28,0.5423071596731754,0.5109007970049043,0.5763270680820787,,0
22,D20171109,2017-11-09,0.42179180455472304,0.38383796780463114,0.4619565061673567,,0
23,D20171121,2017-11-21,0.4331571231417943,0.39809571221867257,0.46972849782005544,,0
24,D20171203,2017-12-03,0.5176138561379883,0.48308943264138593,0.5477073573724147,,0
25,D20171215,2017-12-15,0.6576221652364511,0.6190906312527161,0.6911500938355085,,0
26,D20171227,2017-12-27,0.8255375843445125,0.7941967632718747,0.8496239416643984,0.004975124378109453,1
27,D20180108,2018-01-08,0.8425664608493426,0.8124786900276492,0.8666301352854939,0.004975124378109453,1
28,D20180120,2018-01-20,0.8515154554006751,0.8271714682750025,0.8737216404261516,0.004975124378109453,1
29,D20180201,2018-02-01,0.8912797444235921,0.8699977078349069,0.9120128552258975,0.004975124378109453,1
30,D20180213,2018-02-13,0.9073201247319838,0.8881721893519381,0.9235548615389023,0.004975124378109453,1
31,D20180225,2018-02-25,0.8192818837776791,0.7917014072938604,0.8450030800968439,,0
