k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.6005145416779242,0.5700456701491178,0.6278148931016065,0
12,D20170712,2017-07-12,0.4897041096391803,0.45720552193183334,0.5238297355388698,0
13,D20170724,2017-07-24,0.499054859562967,0.46605602166430443,0.5336003204567882,0
14,D20170805,2017-08-05,0.4388972125460711,0.40498684990591943,0.4739906381732711,0
15,D20170817,2017-08-17,0.518462385337007,0.49021614699594634,0.5514101254520419,0
16,D20170829,2017-08-29,0.37490650935676995,0.3434053879506514,0.403932229698263,0
17,D20170910,2017-09-10,0.4833019570788249,0.45406203299828407,0.5200074310914361,0
18,D20170922,2017-09-22,0.4403468292163739,0.41204005372732083,0.46986552758581995,0
19,D20171004,2017-10-04,0.401996040282969,0.3774492140525166,0.4261768985041979,0
20,D20171016,2017-10-16,0.569564984966849,0.5436047824828515,0.5941027571131149,0
21,D20171028,2017-10-28,0.47749939679572106,0.44891848241990623,0.5099795151345278,0
22,D20171109,2017-11-09,0.7088481037713632,0.6893425001119721,0.7329044562950205,0
23,D20171121,2017-11-21,0.7770990425305973,0.7579887724540084,0.7960301091643225,0
24,D20171203,2017-12-03,0.7994289184559319,0.779544439901349,0.8202277631933176,0
25,D20171215,2017-12-15,0.8436821997186491,0.8278837619334515,0.8612107983438732,0
26,D20171227,2017-12-27,0.9756209151271111,0.9688118705786091,0.9822294574629012,1
27,D20180108,2018-01-08,0.9843518455642933,0.9778443429552242,0.9887829167732206,1
28,D20180120,2018-01-20,0.9853025244038872,0.9807149933226129,0.9898661440341049,1
29,D20180201,2018-02-01,0.9899567089559822,0.985309098246927,0.9934010415086416,1
30,D20180213,2018-02-13,0.9842709367268813,0.9788130938431746,0.9884118317616309,1
31,D20180225,2018-02-25,0.936998503668108,0.9217777814700462,0.9493223764466668,0
