k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.5609357763992951,0.5273777631333897,0.5936207374086118,,0
12,D20170712,2017-07-12,0.5032209694903276,0.46351720795190277,0.5414220496731277,,0
13,D20170724,2017-07-24,0.4713694253828632,0.4314836038565678,0.5098417451016909,,0
14,D20170805,2017-08-05,0.49299218276196344,0.45471947242000105,0.5330440668739167,,0
15,D20170817,2017-08-17,0.49455372023169963,0.45774596602820317,0.5394193898065508,,0
16,D20170829,2017-08-29,0.33404963492495543,0.2951901541958559,0.3669223863348757,,0
17,D20170910,2017-09-10,0.36409609902153206,0.3290030514447803,0.4052703083439585,,0
18,D20170922,2017-09-22,0.36235787382586226,0.32571940556518586,0.4038408091342779,,0
19,D20171004,2017-10-04,0.36157471741902214,0.32614190412064425,0.40271084337349394,,0
20,D20171016,2017-10-16,0.4937323610733063,0.45360347454025374,0.5302349707987718,,0
21,D20171028,2017-10-28,0.4127234264047869,0.37503294987321467,0.44858124531419374,,0
22,D20171109,2017-11-09,0.42573146330864475,0.3909076257467444,0.46472405675018735,,0
23,D20171121,2017-11-21,0.44400670458289754,0.4062573719372138,0.47517000224441164,,0
24,D20171203,2017-12-03,0.502232473293889,0.46748336986471456,0.5352364272786747,,0
25,D20171215,2017-12-15,0.5230434222024841,0.4881333896823919,0.5584705050881289,,0
26,D20171227,2017-12-27,0.861443395460558,0.8363348757694272,0.8829733917835432,0.004975124378109453,1
27,D20180108,2018-01-08,0.8983448657889584,0.8755824725775875,0.9206026245290317,0.004975124378109453,1
28,D20180120,2018-01-20,0.9099417885573209,0.8908333691484129,0.9267178106003084,0.004975124378109453,1
29,D20180201,2018-02-01,0.9290670410536319,0.9117767144678595,0.9451441915103935,0.004975124378109453,1
30,D20180213,2018-02-13,0.9308673457205755,0.9160307102369049,0.9480733874857337,0.004975124378109453,1
31,D20180225,2018-02-25,0.8619925600141349,0.8312344502862818,0.8829216986853479,,0
