k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.0741545706987381,0.09689830988645554,0.0817391648888588,-0.022743739187717438,-0.042518550902605055,-0.002238384075462845,0
12,D20170712,2017-07-12,0.0640968456864357,0.08309577405452728,0.07085312157869339,-0.018998928368091583,-0.03894102675840259,0.000316706858575342,0
13,D20170724,2017-07-24,0.05649677664041519,0.08243291079998016,0.06668362021446228,-0.025936134159564972,-0.04358470588922501,-0.005832594446837903,0
14,D20170805,2017-08-05,0.051128361374139786,0.06914575397968292,0.0700177401304245,-0.018017392605543137,-0.03634170051664114,0.0007827978581189951,0
15,D20170817,2017-08-17,0.08703199774026871,0.11016132682561874,0.10710588097572327,-0.023129329085350037,-0.04726945646107197,-0.0011282939463854171,0
16,D20170829,2017-08-29,0.05056046321988106,0.0882534459233284,0.09884992986917496,-0.03769298270344734,-0.056148280017077924,-0.01766925752162934,0
17,D20170910,2017-09-10,0.09089691936969757,0.14535951614379883,0.12320329993963242,-0.05446259677410126,-0.07808580249547958,-0.031260913796722925,0
18,D20170922,2017-09-22,0.06460577249526978,0.10730817168951035,0.10743961483240128,-0.04270239919424057,-0.061077342834323645,-0.02064331155270339,0
19,D20171004,2017-10-04,0.0688764899969101,0.13071279227733612,0.13863356411457062,-0.061836302280426025,-0.0811466196551919,-0.039777831733226784,0
20,D20171016,2017-10-16,0.08246783167123795,0.12186002731323242,0.10286793112754822,-0.039392195641994476,-0.06186165399849415,-0.02039315924048424,0
21,D20171028,2017-10-28,0.07234078645706177,0.11115486174821854,0.09345124661922455,-0.03881407529115677,-0.06135492147877812,-0.016914482973515988,0
22,D20171109,2017-11-09,0.16496028006076813,0.2634238302707672,0.10591039061546326,-0.09846355020999908,-0.13056674115359784,-0.06256458535790445,0
23,D20171121,2017-11-21,0.2331102341413498,0.3325192332267761,0.10875213891267776,-0.09940899908542633,-0.13765291012823583,-0.06469919830560686,0
24,D20171203,2017-12-03,0.2689555585384369,0.3276372253894806,0.10926538705825806,-0.0586816668510437,-0.0952224750071764,-0.018903119117021566,0
25,D20171215,2017-12-15,0.39167675375938416,0.3937068283557892,0.1308145970106125,-0.0020300745964050293,-0.04222913309931755,0.03298547118902203,0
26,D20171227,2017-12-27,0.9259201884269714,0.5789920091629028,0.21392233669757843,0.3469281792640686,0.31715639531612394,0.37571220844984055,1
27,D20180108,2018-01-08,0.9498744606971741,0.5438910722732544,0.2061360627412796,0.4059833884239197,0.37843969464302063,0.4325572967529297,1
28,D20180120,2018-01-20,0.9492093324661255,0.5170091390609741,0.1996387541294098,0.43220019340515137,0.4065077602863312,0.45828293561935424,1
29,D20180201,2018-02-01,0.960686981678009,0.5009074807167053,0.19043388962745667,0.4597795009613037,0.436457534134388,0.4857616282999515,1
30,D20180213,2018-02-13,0.9378471970558167,0.487594872713089,0.22211335599422455,0.45025232434272766,0.4262861363589764,0.4765873044729233,1
31,D20180225,2018-02-25,0.8208880424499512,0.3931679129600525,0.20872852206230164,0.4277201294898987,0.3943881198763847,0.4590016007423401,0
