k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.6171673819742489,0.23452789699570817,0.927103004291845,0
12,D20240530,2024-05-30,0.6841201716738197,0.45517167381974244,0.907017167381974,0
13,D20240611,2024-06-11,0.7665236051502144,0.6137339055793991,0.9176394849785408,0
14,D20240623,2024-06-23,0.8927038626609443,0.7892060085836909,0.9918669527896996,0
15,D20240705,2024-07-05,0.9210300429184548,0.8411587982832618,0.9837339055793991,0
16,D20240717,2024-07-17,0.7656652360515022,0.48431330472103,0.9892918454935623,0
17,D20240729,2024-07-29,0.7999999999999999,0.645450643776824,0.9584334763948498,0
18,D20240822,2024-08-22,0.8257510729613735,0.7012875536480687,0.9322317596566523,0
19,D20240903,2024-09-03,0.7227467811158796,0.5497639484978541,0.8770600858369096,0
20,D20240915,2024-09-15,0.7407725321888412,0.6441416309012876,0.8352789699570815,0
21,D20240927,2024-09-27,0.7381974248927038,0.6629828326180258,0.809892703862661,0
22,D20241009,2024-10-09,0.542489270386266,0.31457081545064375,0.7121673819742487,0
23,D20241021,2024-10-21,0.5545064377682403,0.29547210300429183,0.7689055793991415,0
24,D20241102,2024-11-02,0.6094420600858369,0.3733047210300429,0.803969957081545,0
25,D20241114,2024-11-14,0.7004291845493562,0.4213733905579399,0.8936051502145923,0
26,D20241126,2024-11-26,0.7939914163090129,0.5144420600858369,0.9648497854077253,0
27,D20241208,2024-12-08,0.8214592274678112,0.6547210300429184,0.967381974248927,0
28,D20241220,2024-12-20,0.8669527896995708,0.731695278969957,0.9708154506437768,1
29,D20250101,2025-01-01,0.8111587982832618,0.6269742489270386,0.9776824034334765,1
30,D20250113,2025-01-13,0.7373390557939914,0.48010729613733905,0.9532403433476394,1
31,D20250125,2025-01-25,0.8394849785407725,0.6916738197424893,0.9619527896995707,1
32,D20250206,2025-02-06,0.8772532188841202,0.75793991416309,0.9828326180257512,1
33,D20250218,2025-02-18,0.7639484978540771,0.5677253218884121,0.9120815450643777,0
