k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.6439881148894024,0.5958200726312314,0.6820637173984813,,0
12,D20240530,2024-05-30,0.6064971937933311,0.5591350280620666,0.6555893034004622,,0
13,D20240611,2024-06-11,0.5879035985473754,0.5424866292505778,0.6385153516011884,,0
14,D20240623,2024-06-23,0.6523473093430174,0.6080495212941565,0.701512050181578,,0
15,D20240705,2024-07-05,0.6104456916474084,0.5669881148894024,0.6509333113238692,,0
16,D20240717,2024-07-17,0.5821063057114559,0.5375252558600199,0.6298501155496863,,0
17,D20240729,2024-07-29,0.5956553317926708,0.5491346979201057,0.6470406074612083,,0
18,D20240822,2024-08-22,0.5853813139650049,0.5351667216903269,0.6311677121162099,,0
19,D20240903,2024-09-03,0.5657972928359194,0.5134638494552658,0.6107289534499835,,0
20,D20240915,2024-09-15,0.5669858038956751,0.5131594585671839,0.6081488940244305,,0
21,D20240927,2024-09-27,0.5916275998679432,0.547725321888412,0.6355754374380984,,0
22,D20241009,2024-10-09,0.609045889732585,0.5654938923737207,0.6570864971937933,,0
23,D20241021,2024-10-21,0.6063783426873555,0.5579494882799604,0.6469369428854408,,0
24,D20241102,2024-11-02,0.5837041928029052,0.5446500495212941,0.6277662594915813,,0
25,D20241114,2024-11-14,0.6073819742489271,0.5644645097391878,0.6521099372730274,,0
26,D20241126,2024-11-26,0.6168768570485308,0.5786837240013206,0.6550650379663254,,0
27,D20241208,2024-12-08,0.6106437768240344,0.5637761637504126,0.6520498514361175,,0
28,D20241220,2024-12-20,0.6808451634202707,0.6329220864971938,0.7191951138989765,0.004975124378109453,1
29,D20250101,2025-01-01,0.6983426873555628,0.6609428854407395,0.7400472103004291,0.004975124378109453,1
30,D20250113,2025-01-13,0.6946318917134369,0.6491053152855728,0.7366051502145923,0.004975124378109453,1
31,D20250125,2025-01-25,0.6957015516672169,0.6450940904588973,0.7330241003631561,0.004975124378109453,1
32,D20250206,2025-02-06,0.6971277649389237,0.6580782436447672,0.741068339385936,0.004975124378109453,1
33,D20250218,2025-02-18,0.6854143281611091,0.643106635853417,0.7246658963354241,,0
