k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.45062055594554196,0.4156713656051077,0.4856498526806393,,0
12,D20170712,2017-07-12,0.4900744476120892,0.4522248327435784,0.529924931593198,,0
13,D20170724,2017-07-24,0.4449665487156713,0.4073280040494917,0.484100969872355,,0
14,D20170805,2017-08-05,0.4384004507924683,0.4008177776504353,0.4752536901470328,,0
15,D20170817,2017-08-17,0.37094394223743965,0.3303813350906599,0.4114819563629071,,0
16,D20170829,2017-08-29,0.40904163622384904,0.36762913723860957,0.44858172284858816,,0
17,D20170910,2017-09-10,0.3846778314208081,0.34895909440377443,0.42412038164548793,,0
18,D20170922,2017-09-22,0.41425153646691404,0.3721803981681781,0.44663970985010193,,0
19,D20171004,2017-10-04,0.37166501917300593,0.33944816125381433,0.41510883008848715,,0
20,D20171016,2017-10-16,0.4145810351990602,0.374903299285131,0.45249213262085203,,0
21,D20171028,2017-10-28,0.4256502824615943,0.3907104040418511,0.4637035657493231,,0
22,D20171109,2017-11-09,0.3643635182824043,0.32866304695595705,0.4055965837189423,,0
23,D20171121,2017-11-21,0.4206934754475691,0.3817679755884418,0.4567552015433911,,0
24,D20171203,2017-12-03,0.5035886709740269,0.46408857785481994,0.5357570591521854,,0
25,D20171215,2017-12-15,0.630665348671738,0.5969078454125658,0.6615661217999226,,0
26,D20171227,2017-12-27,0.9057060584788619,0.8825300010983291,0.9246163011140877,0.004975124378109453,1
27,D20180108,2018-01-08,0.9358050513588241,0.9194554675300488,0.9531331031617551,0.004975124378109453,1
28,D20180120,2018-01-20,0.935026670295928,0.9166432674813404,0.9504941287146207,0.004975124378109453,1
29,D20180201,2018-02-01,0.9395011675715945,0.920785400818494,0.9545954328610518,0.004975124378109453,1
30,D20180213,2018-02-13,0.932108935146054,0.9150233514318868,0.9488798236943016,0.004975124378109453,1
31,D20180225,2018-02-25,0.8468403936793547,0.8206087130925604,0.8706611224923474,,0
