k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.04700075089931488,0.07315219938755035,0.13787415623664856,-0.026151448488235474,-0.03835512008517981,-0.014638822432607414,0
12,D20170712,2017-07-12,0.062131211161613464,0.07675156742334366,0.09709563106298447,-0.014620356261730194,-0.02831696644425392,0.0002064125612378065,0
13,D20170724,2017-07-24,0.06190633028745651,0.07207033038139343,0.08408370614051819,-0.01016400009393692,-0.025344625301659107,0.004745844192802901,0
14,D20170805,2017-08-05,0.03815946355462074,0.04550581052899361,0.07516422867774963,-0.007346346974372864,-0.017943235905840994,0.005206197127699852,0
15,D20170817,2017-08-17,0.057070162147283554,0.08298758417367935,0.14379829168319702,-0.025917422026395798,-0.04189492324367165,-0.00940705295652152,0
16,D20170829,2017-08-29,0.06052977964282036,0.08109313994646072,0.13419626653194427,-0.020563360303640366,-0.03403376759961248,-0.005986972339451316,0
17,D20170910,2017-09-10,0.047859955579042435,0.07217426598072052,0.11710640043020248,-0.024314310401678085,-0.03876191759482026,-0.013100309018045668,0
18,D20170922,2017-09-22,0.05008495971560478,0.07673328369855881,0.11691349744796753,-0.026648323982954025,-0.04041657838970423,-0.010928180068731317,0
19,D20171004,2017-10-04,0.04533275216817856,0.08842277526855469,0.13503918051719666,-0.04309002310037613,-0.057025950588285926,-0.026465940941125168,0
20,D20171016,2017-10-16,0.04757561907172203,0.08099555969238281,0.12929250299930573,-0.03341994062066078,-0.05003693532198668,-0.018020388484001164,0
21,D20171028,2017-10-28,0.09730781614780426,0.12366252392530441,0.1663108766078949,-0.026354707777500153,-0.04950016476213932,-0.0007472708821296787,0
22,D20171109,2017-11-09,0.10940642654895782,0.17005155980587006,0.17170807719230652,-0.06064513325691223,-0.08662334214895964,-0.03414714764803649,0
23,D20171121,2017-11-21,0.16118237376213074,0.2114105373620987,0.17009583115577698,-0.05022816359996796,-0.08008043467998505,-0.02049132101237774,0
24,D20171203,2017-12-03,0.1817881017923355,0.1964121162891388,0.16385003924369812,-0.014624014496803284,-0.042230600491166115,0.010106448084115982,0
25,D20171215,2017-12-15,0.30805549025535583,0.23664714395999908,0.19818641245365143,0.07140834629535675,0.04401649385690689,0.09462524093687534,0
26,D20171227,2017-12-27,0.8258376717567444,0.34399524331092834,0.331047922372818,0.48184242844581604,0.4479817606508732,0.5148842364549636,1
27,D20180108,2018-01-08,0.8909464478492737,0.3359634578227997,0.33141952753067017,0.554982990026474,0.5256809502840042,0.5825641110539436,1
28,D20180120,2018-01-20,0.8896462321281433,0.34025171399116516,0.315308153629303,0.5493945181369781,0.5144036486744881,0.5779134407639503,1
29,D20180201,2018-02-01,0.8808466792106628,0.3015159070491791,0.2711181342601776,0.5793307721614838,0.5507306694984436,0.6118133068084717,1
30,D20180213,2018-02-13,0.8353551030158997,0.32215675711631775,0.28291404247283936,0.5131983458995819,0.48567975461483004,0.5414750173687934,1
31,D20180225,2018-02-25,0.6759546399116516,0.32377147674560547,0.24308212101459503,0.35218316316604614,0.3255420356988907,0.3777762696146965,0
