k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5030042918454936,0.456350940904589,0.5519184549356222,,0
12,D20240530,2024-05-30,0.49074942225156815,0.44851006932981186,0.5397339055793992,,0
13,D20240611,2024-06-11,0.4606668867613074,0.4155087487619677,0.5182918454935622,,0
14,D20240623,2024-06-23,0.5660878177616375,0.5183694288544074,0.6119045889732584,,0
15,D20240705,2024-07-05,0.5065698250247607,0.4551848794981842,0.5509679762297789,,0
16,D20240717,2024-07-17,0.5152195444040938,0.46862627930009904,0.5659990095741168,,0
17,D20240729,2024-07-29,0.5521558270056124,0.5024222515681743,0.6002360515021459,,0
18,D20240822,2024-08-22,0.5281214922416639,0.4819798613403764,0.5701320567844173,,0
19,D20240903,2024-09-03,0.5085638824694618,0.4588022449653351,0.5542235061076262,,0
20,D20240915,2024-09-15,0.48929679762297784,0.43939253879168044,0.5375411026741499,,0
21,D20240927,2024-09-27,0.4787058435127105,0.42834995047870583,0.5232723671178606,,0
22,D20241009,2024-10-09,0.49448662925057774,0.44803235391218227,0.541122152525586,,0
23,D20241021,2024-10-21,0.5226807527236712,0.472954110267415,0.5685830307032024,,0
24,D20241102,2024-11-02,0.5285704853086828,0.48282007263123145,0.5708682733575438,,0
25,D20241114,2024-11-14,0.5338131396500495,0.4822264773852757,0.5818217233410365,,0
26,D20241126,2024-11-26,0.549725982172334,0.5082492571805877,0.5921723341036645,,0
27,D20241208,2024-12-08,0.5513634862991086,0.5045176625949158,0.5935840211290855,,0
28,D20241220,2024-12-20,0.6493364146583032,0.5970855067679102,0.6931809177946517,0.004975124378109453,1
29,D20250101,2025-01-01,0.6739517992736878,0.6333549026081214,0.7185995378012545,0.004975124378109453,1
30,D20250113,2025-01-13,0.6664641795972268,0.6190511720039616,0.7113869263783426,0.004975124378109453,1
31,D20250125,2025-01-25,0.6629646748101684,0.6124344668207329,0.7037391878507758,0.004975124378109453,1
32,D20250206,2025-02-06,0.6397226807527236,0.5983730604159789,0.6885384615384615,0.004975124378109453,1
33,D20250218,2025-02-18,0.655595906239683,0.6136919775503467,0.6951020138659624,,0
