k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.49261731826234784,0.47656082116814463,0.5087699788452263,,0
12,D20170712,2017-07-12,0.5685691636940151,0.5297470500312785,0.6037233356732518,,0
13,D20170724,2017-07-24,0.4666466102221012,0.43154407164926056,0.50524708823403,,0
14,D20170805,2017-08-05,0.4556824205263384,0.4152534036263962,0.4904211375824343,,0
15,D20170817,2017-08-17,0.3501138919530679,0.3079603789712954,0.386540096175427,,0
16,D20170829,2017-08-29,0.4017496860211357,0.36569715246240614,0.4393342096089471,,0
17,D20170910,2017-09-10,0.40187384496368345,0.3663355562559393,0.44401231561203197,,0
18,D20170922,2017-09-22,0.39938350309681053,0.3613567229679717,0.4377592414843679,,0
19,D20171004,2017-10-04,0.3917907062256159,0.3569763596598045,0.4297370815007951,,0
20,D20171016,2017-10-16,0.3773524538104857,0.33453845106943836,0.41908257285981015,,0
21,D20171028,2017-10-28,0.3664312422102202,0.3302866638969672,0.40535465285637196,,0
22,D20171109,2017-11-09,0.3606196486301926,0.321852511114613,0.39225439212259267,,0
23,D20171121,2017-11-21,0.31623521434131296,0.2831417823493737,0.35078363394123463,,0
24,D20171203,2017-12-03,0.29771165518196446,0.26338910935060095,0.33543705141612823,,0
25,D20171215,2017-12-15,0.2925709974260896,0.2566781991222918,0.3283680500838073,,0
26,D20171227,2017-12-27,0.3184963396988668,0.2864414853229804,0.3533315187026346,1.0,1
27,D20180108,2018-01-08,0.3251746582047572,0.28917089284605724,0.3623252821034435,1.0,1
28,D20180120,2018-01-20,0.32524867603589147,0.29009832433181,0.3687482390919206,1.0,1
29,D20180201,2018-02-01,0.3304132105114871,0.2969762522145658,0.36918804826917645,1.0,1
30,D20180213,2018-02-13,0.3375022085965742,0.29967670921498124,0.3735467434541973,1.0,1
31,D20180225,2018-02-25,0.9338805877493326,0.9152027849805883,0.9502647928217031,,0
