k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,3.1851382118475158e-06,6.653253421973204e-06,0.0004765820922330022,-3.4681152101256885e-06,-9.585254247213015e-06,1.6713615082153384e-06,0
12,D20170712,2017-07-12,3.8964681152720004e-05,8.896875806385651e-05,0.0008220046875067055,-5.000407691113651e-05,-0.00011570017431949964,-6.9440410698007525e-06,0
13,D20170724,2017-07-24,0.0001833314454415813,0.000550796976312995,0.0028174216859042645,-0.00036746553087141365,-0.0006183694218634628,-8.861002861522153e-05,0
14,D20170805,2017-08-05,0.0007248707697726786,0.0013011936098337173,0.003910842817276716,-0.0005763228400610387,-0.0010968593647703528,5.880432727280962e-05,0
15,D20170817,2017-08-17,0.0008879773085936904,0.0025069676339626312,0.004902112763375044,-0.0016189903253689408,-0.0023974215553607793,-0.0009499888110440225,0
16,D20170829,2017-08-29,0.0033396172802895308,0.006578977219760418,0.007228046655654907,-0.003239359939470887,-0.005872746021486819,-0.0010374137898907065,0
17,D20170910,2017-09-10,0.0033535328693687916,0.006630568765103817,0.007290415000170469,-0.0032770358957350254,-0.00538552381331101,-0.0010713559226132937,0
18,D20170922,2017-09-22,0.003379606641829014,0.006769558880478144,0.007661741226911545,-0.00338995223864913,-0.005666884384118021,-0.000755776767618955,0
19,D20171004,2017-10-04,0.0034264512360095978,0.008144632913172245,0.007923725992441177,-0.004718181677162647,-0.007460857590194792,-0.002347778913099321,0
20,D20171016,2017-10-16,0.0034805943723767996,0.009745190851390362,0.010173020884394646,-0.006264596479013562,-0.00917710168287158,-0.003176290768897162,0
21,D20171028,2017-10-28,0.003552995389327407,0.010546887293457985,0.011038355529308319,-0.006993891904130578,-0.010461684293113649,-0.00406995420344174,0
22,D20171109,2017-11-09,0.0035755971912294626,0.011174486950039864,0.011336449533700943,-0.007598889758810401,-0.010511737293563783,-0.004280160169582814,0
23,D20171121,2017-11-21,0.00371254188939929,0.014322462491691113,0.01268698275089264,-0.010609920602291822,-0.013561821007169784,-0.006796450598631057,0
24,D20171203,2017-12-03,0.003938843496143818,0.019043048843741417,0.013707922771573067,-0.015104205347597599,-0.01972528644837439,-0.010874114884063603,0
25,D20171215,2017-12-15,0.004666858818382025,0.03223702684044838,0.017392901703715324,-0.027570168022066355,-0.0338823152706027,-0.021834828518331052,0
26,D20171227,2017-12-27,0.005823678337037563,0.047242745757102966,0.019067013636231422,-0.0414190674200654,-0.05098491553217173,-0.033210903033614174,1
27,D20180108,2018-01-08,0.006294068414717913,0.05663929134607315,0.01998717524111271,-0.05034522293135524,-0.06102268137037754,-0.040834285970777276,1
28,D20180120,2018-01-20,0.006346782669425011,0.05734435096383095,0.02041754312813282,-0.05099756829440594,-0.06156292827799916,-0.04069826882332563,1
29,D20180201,2018-02-01,0.008294549770653248,0.0583072155714035,0.02085101045668125,-0.050012665800750256,-0.06230681138113141,-0.03870830964297058,1
30,D20180213,2018-02-13,0.011505784466862679,0.059421516954898834,0.02435426041483879,-0.047915732488036156,-0.05991994962096214,-0.036779414489865304,1
31,D20180225,2018-02-25,0.7182570695877075,0.12578922510147095,0.03883776813745499,0.5924678444862366,0.5534536421298981,0.6313887715339661,0
