run_name,task,model_name,input_mode,neg_mode,H,Hf,AUC_near_lastN_mean,lead_time_days,FAR,TPR,trend_pvalues,test_auc,run_dir,split_path
leadtime_cls_tcn_in2ch_near_only,leadtime_cls,tcn,2ch,near_only,5,0,0.8748812133193893,48.0,0.009958382877526754,0.8554216867469879,"{""core_mean_risk_p"": 6.8353239131013765e-06, ""auc_core_vs_near_p"": 0.00026671069352524057}",0.9779225290950149,outputs/experiments/leadtime_cls_tcn_in2ch_near_only,outputs/splits/split_seed42.json
leadtime_cls_tcn_in2ch_near_plus_far,leadtime_cls,tcn,2ch,near_plus_far,5,0,0.8726387118032175,,0.009958382877526754,0.7734939759036145,"{""core_mean_risk_p"": 2.7181180883184552e-05, ""auc_core_vs_near_p"": 5.374871460350761e-06}",0.9864210151847067,outputs/experiments/leadtime_cls_tcn_in2ch_near_plus_far,outputs/splits/split_seed42.json
leadtime_cls_tcn_in4ch_near_only,leadtime_cls,tcn,4ch,near_only,5,0,0.8995544604100111,36.0,0.009958382877526754,0.8096385542168675,"{""core_mean_risk_p"": 0.00012299960718831215, ""auc_core_vs_near_p"": 1.2575634001921188e-05}",0.9600382143477505,outputs/experiments/leadtime_cls_tcn_in4ch_near_only,outputs/splits/split_seed42.json
leadtime_cls_tcn_in4ch_near_plus_far,leadtime_cls,tcn,4ch,near_plus_far,5,0,0.8623927338366546,,0.009958382877526754,0.695582329317269,"{""core_mean_risk_p"": 1.2575634001921188e-05, ""auc_core_vs_near_p"": 0.0014092503211964313}",0.969548671572207,outputs/experiments/leadtime_cls_tcn_in4ch_near_plus_far,outputs/splits/split_seed42.json
leadtime_cls_gru_in2ch_near_only,leadtime_cls,gru,2ch,near_only,5,0,0.8805619624753472,48.0,0.009958382877526754,0.8385542168674699,"{""core_mean_risk_p"": 0.0003388897924176959, ""auc_core_vs_near_p"": 8.305737147029646e-05}",0.977307625499392,outputs/experiments/leadtime_cls_gru_in2ch_near_only,outputs/splits/split_seed42.json
leadtime_cls_gru_in2ch_near_plus_far,leadtime_cls,gru,2ch,near_plus_far,5,0,0.8872918546958344,,0.009958382877526754,0.721285140562249,"{""core_mean_risk_p"": 0.0011657037176187046, ""auc_core_vs_near_p"": 0.005133970450832415}",0.9702029620475948,outputs/experiments/leadtime_cls_gru_in2ch_near_plus_far,outputs/splits/split_seed42.json
leadtime_cls_gru_in4ch_near_only,leadtime_cls,gru,4ch,near_only,5,0,0.9077097927978264,48.0,0.009958382877526754,0.8497991967871485,"{""core_mean_risk_p"": 0.00025396824410384156, ""auc_core_vs_near_p"": 0.0002417475530049895}",0.9716414799374674,outputs/experiments/leadtime_cls_gru_in4ch_near_only,outputs/splits/split_seed42.json
leadtime_cls_gru_in4ch_near_plus_far,leadtime_cls,gru,4ch,near_plus_far,5,0,0.9130051716974915,,0.009958382877526754,0.7807228915662651,"{""core_mean_risk_p"": 0.0007200857440219366, ""auc_core_vs_near_p"": 0.003034075117110291}",0.9794396075567787,outputs/experiments/leadtime_cls_gru_in4ch_near_plus_far,outputs/splits/split_seed42.json
survival_discrete_tcn_in2ch_near_only,survival_discrete,tcn,2ch,near_only,5,0,0.4408153422250238,,0.009958382877526754,0.0008032128514056225,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 0.0007507018687524791}",,outputs/experiments/survival_discrete_tcn_in2ch_near_only,outputs/splits/split_seed42.json
survival_discrete_tcn_in2ch_near_plus_far,survival_discrete,tcn,2ch,near_plus_far,5,0,0.4799287518683533,,0.009958382877526754,0.0,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 0.008951847852124217}",,outputs/experiments/survival_discrete_tcn_in2ch_near_plus_far,outputs/splits/split_seed42.json
survival_discrete_tcn_in4ch_near_only,survival_discrete,tcn,4ch,near_only,5,0,0.45044386821960847,,0.009958382877526754,0.0024096385542168677,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 0.0016934533188646128}",,outputs/experiments/survival_discrete_tcn_in4ch_near_only,outputs/splits/split_seed42.json
survival_discrete_tcn_in4ch_near_plus_far,survival_discrete,tcn,4ch,near_plus_far,5,0,0.4210907840637222,,0.009958382877526754,0.0,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 0.0008842856962099077}",,outputs/experiments/survival_discrete_tcn_in4ch_near_plus_far,outputs/splits/split_seed42.json
survival_discrete_gru_in2ch_near_only,survival_discrete,gru,2ch,near_only,5,0,0.481543773190264,,0.009958382877526754,0.005622489959839358,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 0.17247526361917132}",,outputs/experiments/survival_discrete_gru_in2ch_near_only,outputs/splits/split_seed42.json
survival_discrete_gru_in2ch_near_plus_far,survival_discrete,gru,2ch,near_plus_far,5,0,0.4603804038985908,,0.009958382877526754,0.001606425702811245,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 0.07174463553427435}",,outputs/experiments/survival_discrete_gru_in2ch_near_plus_far,outputs/splits/split_seed42.json
survival_discrete_gru_in4ch_near_only,survival_discrete,gru,4ch,near_only,5,0,0.4966247869002765,,0.009958382877526754,0.001606425702811245,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 0.44111256519536357}",,outputs/experiments/survival_discrete_gru_in4ch_near_only,outputs/splits/split_seed42.json
survival_discrete_gru_in4ch_near_plus_far,survival_discrete,gru,4ch,near_plus_far,5,0,0.48786203076276563,,0.009958382877526754,0.0,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 0.5065327719258956}",,outputs/experiments/survival_discrete_gru_in4ch_near_plus_far,outputs/splits/split_seed42.json
forecast_anom_tcn_in2ch_near_only,forecast_anom,tcn,2ch,near_only,5,5,0.6830432311887265,,0.009958382877526754,0.06104417670682731,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 6.879337319398715e-05}",,outputs/experiments/forecast_anom_tcn_in2ch_near_only,outputs/splits/split_seed42.json
forecast_anom_tcn_in2ch_near_plus_far,forecast_anom,tcn,2ch,near_plus_far,5,5,0.6830432311887265,,0.009958382877526754,0.06104417670682731,"{""core_mean_risk_p"": 0.0, ""auc_core_vs_near_p"": 6.879337319398715e-05}",,outputs/experiments/forecast_anom_tcn_in2ch_near_plus_far,outputs/splits/split_seed42.json
