k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4172456771198946,0.3798241718359765,0.45276002941611865,,0
12,D20170712,2017-07-12,0.38821158593947735,0.35619421801355244,0.427758716196534,,0
13,D20170724,2017-07-24,0.3729400360060934,0.33095103362319667,0.4120163173502571,,0
14,D20170805,2017-08-05,0.40975316247152704,0.37042342974752757,0.4499518884097627,,0
15,D20170817,2017-08-17,0.3692009416978258,0.3332160986395045,0.40623838994503586,,0
16,D20170829,2017-08-29,0.4429943316667383,0.40869136474554585,0.4861269095406596,,0
17,D20170910,2017-09-10,0.43203969265886377,0.39744232578351457,0.4774108323902029,,0
18,D20170922,2017-09-22,0.41947098739786726,0.38005303019449976,0.4543206118170661,,0
19,D20171004,2017-10-04,0.41560773414705193,0.38187410760760043,0.45384092851787644,,0
20,D20171016,2017-10-16,0.41200712481316465,0.37351856892492685,0.44638267696230816,,0
21,D20171028,2017-10-28,0.3712638902816976,0.33903413893385675,0.40479635545750176,,0
22,D20171109,2017-11-09,0.36369019478627945,0.3270100616496904,0.39853886413668943,,0
23,D20171121,2017-11-21,0.3346847556695271,0.2998230735068694,0.3680660812094991,,0
24,D20171203,2017-12-03,0.2966682425301682,0.26345596416581907,0.33234889617924734,,0
25,D20171215,2017-12-15,0.2765473308215024,0.24210981858468356,0.31185837284930445,,0
26,D20171227,2017-12-27,0.29896040762335907,0.26276473312990367,0.33540607137229056,1.0,1
27,D20180108,2018-01-08,0.3543066439360295,0.31969686116642554,0.3913691627389463,1.0,1
28,D20180120,2018-01-20,0.40114799268417306,0.3682815686049788,0.439575662937123,1.0,1
29,D20180201,2018-02-01,0.4374071792520856,0.4004359889021007,0.4718482729968625,1.0,1
30,D20180213,2018-02-13,0.45342368284075657,0.4136681088205378,0.4842353958043828,0.9900497512437811,1
31,D20180225,2018-02-25,0.7841592290684736,0.7490202188062596,0.8116529136761075,,0
