k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.005127104464918375,0.006556310225278139,0.007174194324761629,-0.001429205760359764,-0.001953494583722204,-0.0009153192513622346,0
12,D20170712,2017-07-12,0.009317092597484589,0.012619972229003906,0.015225249342620373,-0.0033028796315193176,-0.004405662836506963,-0.002243697526864708,0
13,D20170724,2017-07-24,0.014282257296144962,0.019496073946356773,0.02655790187418461,-0.005213816650211811,-0.0067348364042118195,-0.003780101635493338,0
14,D20170805,2017-08-05,0.02022559940814972,0.025170406326651573,0.0333014540374279,-0.004944806918501854,-0.006783599825575947,-0.00277509312145412,0
15,D20170817,2017-08-17,0.02451876737177372,0.031653404235839844,0.0408962219953537,-0.007134636864066124,-0.009461090061813593,-0.0049197226762771615,0
16,D20170829,2017-08-29,0.03588370606303215,0.04386751353740692,0.04954865947365761,-0.007983807474374771,-0.01140724066644907,-0.004478043504059317,0
17,D20170910,2017-09-10,0.03900958225131035,0.048537999391555786,0.053736183792352676,-0.009528417140245438,-0.013431513775140047,-0.00606711907312274,0
18,D20170922,2017-09-22,0.043299075216054916,0.05504561960697174,0.06047738716006279,-0.011746544390916824,-0.015871895384043454,-0.007644283119589094,0
19,D20171004,2017-10-04,0.047626808285713196,0.06135261058807373,0.06577048450708389,-0.013725802302360535,-0.017685613315552472,-0.009108763467520478,0
20,D20171016,2017-10-16,0.056207261979579926,0.08060967922210693,0.10408315062522888,-0.024402417242527008,-0.030797757674008608,-0.01800478082150221,0
21,D20171028,2017-10-28,0.07327396422624588,0.10715796053409576,0.11882282793521881,-0.033883996307849884,-0.04283290710300207,-0.025351883098483095,0
22,D20171109,2017-11-09,0.07782822847366333,0.11552681028842926,0.1233363077044487,-0.03769858181476593,-0.04637876581400633,-0.028278880566358567,0
23,D20171121,2017-11-21,0.08206648379564285,0.12693162262439728,0.12979969382286072,-0.044865138828754425,-0.05339399855583906,-0.03425583261996509,0
24,D20171203,2017-12-03,0.08854802697896957,0.14717476069927216,0.1387723684310913,-0.05862673372030258,-0.06845880821347236,-0.04718308337032796,0
25,D20171215,2017-12-15,0.10242817550897598,0.18585529923439026,0.15261927247047424,-0.08342712372541428,-0.09532373324036598,-0.071105239354074,0
26,D20171227,2017-12-27,0.1128452718257904,0.2003413438796997,0.15927937626838684,-0.0874960720539093,-0.10451363194733858,-0.07407556474208833,1
27,D20180108,2018-01-08,0.1361648589372635,0.22065578401088715,0.17016355693340302,-0.08449092507362366,-0.10004468373954296,-0.06830614022910594,1
28,D20180120,2018-01-20,0.1641140729188919,0.23757551610469818,0.18014784157276154,-0.07346144318580627,-0.09263727106153966,-0.056093415990471844,1
29,D20180201,2018-02-01,0.1909695565700531,0.24993211030960083,0.18708436191082,-0.05896255373954773,-0.08460591807961464,-0.03824495263397694,1
30,D20180213,2018-02-13,0.20851965248584747,0.260653555393219,0.19529274106025696,-0.05213390290737152,-0.07225216291844845,-0.03128915242850781,1
31,D20180225,2018-02-25,0.5304969549179077,0.29466643929481506,0.209527850151062,0.23583051562309265,0.19897757321596146,0.26920343190431595,0
