k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5291119181247937,0.4783007593265104,0.5717675800594255,,0
12,D20240530,2024-05-30,0.5839815120501816,0.5382819412347309,0.6368646417959721,,0
13,D20240611,2024-06-11,0.5809177946517002,0.5347045229448663,0.6284007923407066,,0
14,D20240623,2024-06-23,0.5937273027401783,0.5464539451964345,0.6412911852096402,,0
15,D20240705,2024-07-05,0.5972400132056785,0.5496427863981511,0.637450973918785,,0
16,D20240717,2024-07-17,0.5991680422581711,0.5561554968636514,0.6418454935622318,,0
17,D20240729,2024-07-29,0.6034070650379664,0.5538441729943876,0.6505338395510069,,0
18,D20240822,2024-08-22,0.6027863981512049,0.542129415648729,0.6485754374380984,,0
19,D20240903,2024-09-03,0.6017299438758666,0.5574480026411357,0.6429871244635194,,0
20,D20240915,2024-09-15,0.6017959722680752,0.5581881809177945,0.6464862991086168,,0
21,D20240927,2024-09-27,0.5972532188841202,0.550976559920766,0.6469164740838561,,0
22,D20241009,2024-10-09,0.5960647078243645,0.5544301749752394,0.641289534499835,,0
23,D20241021,2024-10-21,0.589488279960383,0.5387930009904258,0.6361885110597556,,0
24,D20241102,2024-11-02,0.5841003631561572,0.5384572466160449,0.6303090128755364,,0
25,D20241114,2024-11-14,0.573984813469792,0.527145262462859,0.6162406734896005,,0
26,D20241126,2024-11-26,0.5662991086167051,0.5197708814790359,0.61435127104655,,0
27,D20241208,2024-12-08,0.5587058435127105,0.5111092769891054,0.6007982832618024,,0
28,D20241220,2024-12-20,0.5714889402443051,0.5275909541102674,0.6170666886761307,0.004975124378109453,1
29,D20250101,2025-01-01,0.5699966985803896,0.5167078243644767,0.6160373060415979,0.009950248756218905,1
30,D20250113,2025-01-13,0.5668933641465831,0.5268610102344008,0.6107523935292176,0.009950248756218905,1
31,D20250125,2025-01-25,0.5674347969626939,0.5193453284912513,0.6117504126774512,0.009950248756218905,1
32,D20250206,2025-02-06,0.5666556619346319,0.5225179927368768,0.6120425883129745,0.014925373134328358,1
33,D20250218,2025-02-18,0.6029712776493892,0.5575084186200066,0.6539415648728952,,0
