k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.15609241137713104,0.13243500443794604,0.18165788829860752,0
12,D20170712,2017-07-12,0.3391197600089771,0.3123987134531651,0.36783332514612954,0
13,D20170724,2017-07-24,0.26131002002975323,0.23811278812335324,0.2854969825338047,0
14,D20170805,2017-08-05,0.3246977597402441,0.292970406629516,0.3573916002178759,0
15,D20170817,2017-08-17,0.30616433837039003,0.2805058042458839,0.3402372892457225,0
16,D20170829,2017-08-29,0.4982570887940779,0.4663851171564782,0.5297977555984822,0
17,D20170910,2017-09-10,0.496119747005771,0.4671527698514408,0.528977415839157,0
18,D20170922,2017-09-22,0.4405582517141356,0.40856113023866664,0.4714104710002017,0
19,D20171004,2017-10-04,0.4441175181599404,0.41073928162584383,0.4698243206667658,0
20,D20171016,2017-10-16,0.45868520249603767,0.433918868904085,0.4850167006917224,0
21,D20171028,2017-10-28,0.47537867021509717,0.449551931192813,0.5009969907210086,0
22,D20171109,2017-11-09,0.47433311613163287,0.44958148940648074,0.49906428688732624,0
23,D20171121,2017-11-21,0.459238079551688,0.43369547262078656,0.48427563232905235,0
24,D20171203,2017-12-03,0.464491615580923,0.4395756126797633,0.4909921554547727,0
25,D20171215,2017-12-15,0.4519871065988381,0.42527593284759135,0.47684074829116196,0
26,D20171227,2017-12-27,0.4536625937735833,0.4268803478694729,0.47916923118785243,1
27,D20180108,2018-01-08,0.4872111060864155,0.4589322393302675,0.5117759441651966,1
28,D20180120,2018-01-20,0.494791734391698,0.4701255736460653,0.5249084297376579,1
29,D20180201,2018-02-01,0.5199257276136565,0.4883346493059418,0.5496350132512301,1
30,D20180213,2018-02-13,0.5208814632555885,0.4932889671168184,0.558574500664849,1
31,D20180225,2018-02-25,0.9715995532676334,0.9623207664571225,0.978247731301751,0
