k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4031249850770502,0.3649776275136216,0.4386947910548257,,0
12,D20170712,2017-07-12,0.399787019660091,0.3588858406276712,0.4437330773748979,,0
13,D20170724,2017-07-24,0.3934047724787378,0.35819443051635796,0.43153678924974564,,0
14,D20170805,2017-08-05,0.4329637217120563,0.396333192460687,0.47022764064581746,,0
15,D20170817,2017-08-17,0.39452459063364037,0.3553967355748798,0.4336077962265232,,0
16,D20170829,2017-08-29,0.5116040857842786,0.47143616081448264,0.5510397714520388,,0
17,D20170910,2017-09-10,0.5063249430540234,0.471125942533511,0.5476095822051583,,0
18,D20170922,2017-09-22,0.47925113056267876,0.4387181902401521,0.5181201022878672,,0
19,D20171004,2017-10-04,0.4773481560009359,0.437586015882794,0.5189449832624194,,0
20,D20171016,2017-10-16,0.46167308950427155,0.4151970545678553,0.49750995659212355,,0
21,D20171028,2017-10-28,0.42595829214599185,0.39149809702543825,0.46181861811096947,,0
22,D20171109,2017-11-09,0.40683303964968076,0.37275057423510927,0.4431359206146822,,0
23,D20171121,2017-11-21,0.3662402284524543,0.3286973697405556,0.3974223887225477,,0
24,D20171203,2017-12-03,0.3324570577195822,0.2961148398588408,0.37279898428434305,,0
25,D20171215,2017-12-15,0.27530096605207993,0.24177614142658627,0.3110160021775568,,0
26,D20171227,2017-12-27,0.28370795906575175,0.24814048106814895,0.3204839572320196,1.0,1
27,D20180108,2018-01-08,0.3322779823216767,0.29932566174328706,0.3715403230042644,1.0,1
28,D20180120,2018-01-20,0.3485547421553038,0.3186461661151144,0.38985836329861656,1.0,1
29,D20180201,2018-02-01,0.3770253427503116,0.3470800562535517,0.41498538744753083,1.0,1
30,D20180213,2018-02-13,0.38095783848831716,0.34263940422808953,0.41352795247577706,1.0,1
31,D20180225,2018-02-25,0.8630861137773448,0.8385755865316199,0.8880930380260639,,0
